ID;Origin;Destination;Volume
174;0;7;450
173;1;0;450
149;1;64;900
145;1;99;450
61;2;70;450
28;3;21;450
198;4;67;450
206;4;97;450
120;5;86;3600
118;5;102;450
122;5;103;450
208;5;113;900
227;5;116;900
228;5;118;900
137;6;79;450
108;6;80;900
2;6;87;450
98;6;88;450
161;7;1;450
175;7;29;450
4;8;40;450
140;9;14;450
154;9;15;450
35;10;44;2250
13;10;65;2700
24;11;90;450
83;12;51;1575
49;12;53;900
183;12;63;1575
196;12;97;450
64;13;32;450
96;13;95;450
153;14;9;450
141;14;19;450
139;15;9;450
155;15;79;450
90;16;23;450
74;16;38;450
54;17;60;450
152;19;14;450
142;19;58;450
204;20;67;450
200;20;94;450
29;21;30;450
21;21;89;450
73;23;16;450
91;23;60;450
226;24;46;1800
220;24;62;1800
23;25;11;450
100;26;34;450
105;26;68;450
58;27;33;900
69;27;81;450
53;28;17;450
87;28;54;450
77;28;72;450
160;29;7;450
176;29;91;450
20;30;21;450
211;30;43;1800
215;30;46;1800
30;30;69;450
94;31;32;450
66;31;85;450
95;32;13;450
65;32;31;450
68;33;27;450
59;33;75;450
92;33;85;450
104;34;26;450
101;34;41;450
37;35;36;450
172;35;44;450
162;35;62;2250
221;35;71;1800
38;36;59;450
164;37;42;450
170;37;62;450
89;38;16;450
75;38;54;450
189;39;45;1125
191;39;93;1125
5;40;84;450
102;41;48;450
169;42;37;450
41;42;78;900
214;43;30;1800
212;43;114;450
216;43;115;450
230;43;119;900
12;44;10;2700
36;44;35;900
178;44;45;450
78;44;48;900
190;45;39;1125
185;45;44;450
179;45;63;1575
219;46;24;1800
210;46;30;1800
110;46;64;2250
18;46;69;450
32;46;72;6300
46;47;51;2025
181;47;111;1125
85;47;120;450
103;48;34;450
11;48;44;1800
79;48;71;450
114;49;64;1350
112;49;101;900
134;49;106;450
81;50;53;450
51;50;71;900
84;51;47;1575
47;51;92;2025
9;52;71;450
82;53;12;450
50;53;50;900
76;54;28;450
88;54;38;450
129;55;82;900
195;55;91;225
127;55;104;450
132;55;105;225
15;56;72;4275
131;57;72;900
125;57;82;900
151;58;19;450
186;58;61;1125
143;58;65;1575
39;59;96;450
72;60;23;450
55;60;66;900
193;61;58;1125
187;61;93;1125
225;62;24;1800
171;62;35;2250
163;62;37;450
180;63;12;1575
184;63;45;1575
144;64;1;900
115;64;46;2250
111;64;49;1350
14;65;56;4275
71;66;60;450
56;66;81;900
205;67;4;450
199;67;20;450
99;68;26;450
8;68;52;450
106;68;88;450
19;69;30;450
31;69;46;450
0;70;80;900
62;70;95;450
224;71;35;1800
10;71;48;1350
80;71;50;450
222;71;117;1800
16;72;73;8550
52;73;28;900
17;73;46;6300
124;73;57;900
33;73;74;3825
116;73;86;3600
34;74;10;2250
150;74;58;1575
60;75;2;450
45;76;47;450
167;77;78;450
43;77;100;450
165;77;110;450
168;78;42;450
42;78;77;900
156;79;6;450
138;79;15;450
1;80;6;1350
109;80;70;450
157;80;107;450
57;81;27;900
70;81;66;450
126;82;55;900
130;82;57;900
27;83;3;450
6;84;88;450
93;85;31;450
67;85;33;450
117;86;5;3600
121;86;72;3600
3;87;8;450
107;88;6;450
7;88;68;900
22;89;25;450
25;90;98;450
159;91;29;450
194;91;55;225
177;91;109;450
48;92;12;2475
188;93;39;1125
192;93;61;1125
203;94;20;450
201;94;112;450
63;95;13;450
97;95;70;450
40;96;42;450
197;97;4;450
207;97;92;450
26;98;83;450
148;99;1;450
146;99;108;450
44;100;76;450
113;101;49;900
119;102;5;450
123;103;5;450
128;104;55;450
133;105;55;225
135;106;49;450
136;107;80;450
147;108;99;450
158;109;91;450
166;110;77;450
182;111;47;1125
202;112;94;450
209;113;5;900
213;114;43;450
217;115;43;450
218;116;5;900
223;117;71;1800
229;118;5;900
231;119;43;900
86;120;47;450
