ID ;lat;lng;Population
0;52,1804;4,514149;3555
1;52,181422;4,510137;1472
2;52,148038;4,481483;1660
3;52,142884;4,478695;2417
4;52,152654;4,443192;1215
5;52,161507;4,485565;1507
6;52,181015;4,502586;1159
7;52,172564;4,486935;842
8;52,173307;4,481789;1007
9;52,178798;4,497163;809
10;52,163707;4,489994;2525
11;52,168418;4,493743;3177
12;52,150492;4,50398;2417
13;52,144599;4,503278;816
14;52,14284;4,508426;1001
15;52,154821;4,507182;1858
16;52,163155;4,512309;2264
17;52,152559;4,452693;699
18;52,150612;4,44854;1070
19;52,165519;4,482503;1356
20;52,170021;4,479999;379
21;52,169867;4,488101;1461
22;52,163192;4,486101;1059
23;52,162264;4,484644;760
24;52,167636;4,505643;2329
25;52,175828;4,503727;1960
26;52,173831;4,498752;2588
27;52,175292;4,507802;2943
28;52,163696;4,506437;1652
29;52,166456;4,50647;710
30;52,167034;4,511677;3168
31;52,167034;4,511677;755
32;52,1519;4,514531;1041
33;52,148771;4,513102;2048
34;52,154994;4,512279;1076
35;52,154554;4,517226;1300
36;52,15237;4,520981;955
37;52,146655;4,513888;2424
38;52,157532;4,491243;1173
39;52,150027;4,48891;1754
40;52,153246;4,490145;613
41;52,149458;4,493246;1735
42;52,147308;4,492968;1183
43;52,148271;4,486125;3072
44;52,145327;4,486637;1571
45;52,158179;4,48176;3210
46;52,154287;4,48292;1708
47;52,160053;4,481181;849
48;52,155372;4,44578;1571
49;52,155781;4,449805;1004
50;52,155501;4,454122;572
51;52,173228;4,473882;1970
52;52,147679;4,498162;1514
53;52,15896;4,500553;2062
54;52,158554;4,505135;1949
55;52,154885;4,50135;2377
56;52,162637;4,499515;1733
57;52,16131;4,49751;1702
58;52,153439;4,473205;1295
59;52,157171;4,45736;918
60;52,155844;4,494945;1207
61;52,159378;4,497534;909
62;52,156012;4,493392;1514
63;52,154928;4,49755;1064
64;52,15094;4,494327;887
65;52,149578;4,472554;724
66;52,143317;4,476568;1623
67;52,147757;4,477632;1327
68;52,150761;4,456047;615
69;52,159128;4,463881;1173
70;52,157172;4,466626;896
71;52,157464;4,459196;147
72;52,170223;4,458579;1025
73;52,168172;4,457219;366
74;52,163972;4,464921;367
75;52,163113;4,465407;605
76;52,161515;4,463423;845
77;52,165125;4,460629;256
78;52,166667;4,461172;314
79;52,169725;4,463896;508
80;52,163458;4,469302;649
81;52,169368;4,471139;762
82;52,162358;4,47352;811
83;52,15968;4,470052;370
84;52,163767;4,472055;1439
85;52,158953;4,476015;464
86;52,16641;4,480336;955
87;52,156909;4,473222;519
88;52,170112;4,476591;0
89;52,147558;4,449948;1763
90;52,146891;4,455354;965
91;52,15494;4,462858;1950
92;52,145792;4,460797;0
93;52,144972;4,470851;416
94;52,145487;4,471293;497
95;52,14815;4,470362;826
96;52,146619;4,467661;806
97;52,141466;4,470806;1716
98;52,141399;4,473744;2406
;;;
