ID;name;frequency
0;1-3-4 Chain 1;2
1;1-3-4 Chain 2;2
2;2: De Vink - Oranjewijk;2
3;14: Leiden Centraal - De Vink;2
4;20: Leiden Centraal - Vuurtorenplein;2
5;21: Leiden Centraal - Vuurtorenplein;2
6;22: Leiden Centraal - Nieuw Vennep, Station;2
7;23: Leiden Centraal - Pickeplein;2
8;30: Leiden Centraal - Willem vd Bergh;1
9;31: Leiden Centraal - Willem vd Bergh;1
10;38: Leiden Centraal - Hangaar 1;1
11;50: Leiden Centraal - Meer en Duin;2
12;55: Starrenburg - Voorhout Station;2
13;56: Stationsstraat - Sassenheim;2
14;169: Leiden Centraal - Alphen ad Rijn;2
15;182: Leiden Centraal - Alphen ad Rijn;2
16;183: Corpus - Alphen ad Rijn;1
17;187: Leiden Centraal - Boskoop;2
18;250: Leiden Centraal - Haarlem;4
19;365: Leiden Centraal - Schiphol;2
20;366: Leiden Centraal - Leimuiden;2
21;400: ESA Estec - Zoetermeer;4
22;401: Boulevard Zuid - Zoetermeer;4
23;410: Leiden Centraal - Ziekenhuis;4
