ID;lat;lng;Population;region
0;4.476591;52.170112;518;81
1;4.481789;52.173307;996;82
2;4.456047;52.150761;1145;100
3;4.503727;52.175828;1804;50
4;4.513102;52.148771;1206;22
5;4.460629;52.165125;782;97
6;4.467661;52.146619;863;73
7;4.471139;52.169368;672;72
8;4.470806;52.141466;1901;40
9;4.473205;52.153439;1654;115
10;4.491243;52.157532;2281;83
11;4.510137;52.181422;1418;49
12;4.507182;52.154821;1816;20
13;4.44854;52.150612;1025;101
14;4.473222;52.156909;862;114
15;4.472554;52.149578;895;57
16;4.463423;52.161515;537;106
17;4.470052;52.15968;720;113
18;4.478695;52.142884;2716;39
19;4.476015;52.158953;1285;67
20;4.508426;52.14284;1108;11
21;4.498752;52.173831;2521;64
22;4.471293;52.145487;495;42
23;4.463881;52.159128;546;110
24;4.489994;52.163707;2526;91
25;4.502586;52.181015;1501;46
26;4.486125;52.148271;1125;58
27;4.45736;52.157171;1160;95
28;4.47352;52.162358;696;66
29;4.463896;52.169725;291;69
30;4.493743;52.168418;2955;87
31;4.44578;52.155372;846;89
32;4.443192;52.152654;1246;53
33;4.454122;52.155501;944;99
34;4.48891;52.150027;1146;76
35;4.494945;52.155844;870;60
36;4.497534;52.159378;1167;44
37;4.499515;52.162637;2277;54
38;4.465407;52.163113;340;112
39;4.490145;52.153246;1681;77
40;4.473744;52.141399;2039;41
41;4.493246;52.149458;586;75
42;4.506437;52.163696;1633;29
43;4.505643;52.167636;2201;45
44;4.493392;52.156012;846;61
45;4.49755;52.154928;1407;62
46;4.480336;52.16641;520;121
47;4.520981;52.15237;1484;35
48;4.494327;52.15094;1037;78
49;4.473882;52.173228;536;68
50;4.498162;52.147679;2220;80
51;4.517226;52.154554;1160;33
52;4.486637;52.145327;3035;59
53;4.50398;52.150492;2317;19
54;4.469302;52.163458;496;90
55;4.457219;52.168172;1096;96
56;4.486101;52.163192;1113;107
57;4.472055;52.163767;383;71
58;4.481181;52.160053;1531;119
59;4.500553;52.15896;1463;32
60;4.466626;52.157172;1041;109
61;4.48176;52.158179;1470;85
62;4.49751;52.16131;1670;65
63;4.50135;52.154885;1765;18
64;4.479999;52.170021;376;94
65;4.485565;52.161507;1424;108
66;4.462858;52.15494;1510;111
67;4.513888;52.146655;1100;23
68;4.481483;52.148038;1633;52
69;4.488101;52.169867;1356;93
70;4.455354;52.146891;994;104
71;4.492968;52.147308;2052;79
72;4.482504;52.16552;658;120
73;4.482503;52.165519;514;117
74;4.484644;52.162264;732;118
75;4.452693;52.152559;683;98
76;4.512309;52.163155;2546;37
77;4.50647;52.166456;483;30
78;4.50642;52.166466;225;28
79;4.470362;52.14815;821;116
80;4.460797;52.145792;220;74
81;4.459196;52.157464;795;105
82;4.461172;52.166667;257;88
83;4.507802;52.175292;1998;51
84;4.476568;52.143317;726;38
85;4.449805;52.155781;1542;103
86;4.464921;52.163972;345;92
87;4.470851;52.144972;413;43
88;4.477632;52.147757;1583;56
89;4.497163;52.178798;543;63
90;4.514149;52.1804;2240;17
91;4.458579;52.170223;129;70
92;4.512279;52.154994;1969;36
93;4.48292;52.154287;2971;84
94;4.503278;52.144599;1338;25
95;4.449948;52.147558;2625;102
96;4.505135;52.158554;2073;21
97;4.514531;52.1519;836;34
98;4.512719;52.175294;3257;27
99;4.486935;52.172564;884;86
100;4.511677;52.167034;2637;31
