ID	Type	Line	Tail	Head	Time
0	0	1	192	124	2
1	0	1	124	197	1
2	0	1	197	155	1
3	0	1	155	149	1
4	0	1	149	203	1
5	0	1	203	188	1
6	0	1	188	182	1
7	0	1	182	139	1
8	0	1	139	150	1
9	0	1	150	194	3
10	0	1	194	195	3
11	0	1	195	196	2
12	0	1	196	132	3
13	0	1	132	166	1
14	0	1	166	170	2
15	0	1	170	193	2
16	0	1	193	172	1
17	0	1	172	175	1
18	0	1	175	134	2
19	0	1	134	173	2
20	0	1	173	169	1
21	0	1	169	198	19
22	0	1	198	222	2
23	0	1	222	199	1
24	0	1	199	200	1
25	0	1	200	164	1
26	0	1	164	218	3
27	0	1	218	181	1
28	0	1	181	157	2
29	0	1	157	166	2
30	0	1	166	132	1
31	0	1	132	187	2
32	0	1	187	178	1
33	0	1	178	194	3
34	0	1	195	168	1
35	0	1	168	191	3
36	0	1	191	152	2
37	0	1	152	143	3
38	0	1	143	125	1
39	0	1	125	205	1
40	0	1	205	220	1
41	0	1	220	212	1
42	0	1	212	133	1
43	0	1	133	147	1
44	0	1	147	211	2
45	0	1	211	143	2
46	0	1	143	152	2
47	0	1	152	191	1
48	0	1	191	168	2
49	0	1	168	194	2
50	0	1	193	174	1
51	0	1	174	190	2
52	0	1	190	210	1
53	0	1	210	140	3
54	0	1	140	162	1
55	0	1	162	130	2
56	0	1	130	144	1
57	0	1	144	128	1
58	0	1	128	202	3
59	0	1	202	192	2
60	1	1	1	122	0
61	1	1	2	123	0
62	1	1	3	124	0
63	1	1	4	125	0
64	1	1	5	126	0
65	1	1	6	127	0
66	1	1	7	128	0
67	1	1	8	129	0
68	1	1	9	130	0
69	1	1	10	131	0
70	1	1	11	132	0
71	1	1	12	133	0
72	1	1	13	134	0
73	1	1	14	135	0
74	1	1	15	136	0
75	1	1	16	137	0
76	1	1	17	138	0
77	1	1	18	139	0
78	1	1	19	140	0
79	1	1	20	141	0
80	1	1	21	142	0
81	1	1	22	143	0
82	1	1	23	144	0
83	1	1	24	145	0
84	1	1	25	146	0
85	1	1	26	147	0
86	1	1	27	148	0
87	1	1	28	149	0
88	1	1	29	150	0
