ID	Name	Type	Line	Value
1	Stop1	0	-1	-1
2	Stop2	0	-1	-1
3	Stop3	0	-1	-1
4	Stop4	0	-1	-1
5	Stop5	0	-1	-1
6	Stop6	0	-1	-1
7	Stop7	0	-1	-1
8	Stop8	0	-1	-1
9	Stop9	0	-1	-1
10	Stop10	0	-1	-1
11	Stop11	0	-1	-1
12	Stop12	0	-1	-1
13	Stop13	0	-1	-1
14	Stop14	0	-1	-1
15	Stop15	0	-1	-1
16	Stop16	0	-1	-1
17	Stop17	0	-1	-1
18	Stop18	0	-1	-1
19	Stop19	0	-1	-1
20	Stop20	0	-1	-1
21	Stop21	0	-1	-1
22	Stop22	0	-1	-1
23	Stop23	0	-1	-1
24	Stop24	0	-1	-1
25	Stop25	0	-1	-1
26	Stop26	0	-1	-1
27	Stop27	0	-1	-1
28	Stop28	0	-1	-1
29	Stop29	0	-1	-1
30	Stop30	0	-1	-1
31	Stop31	0	-1	-1
32	Stop32	0	-1	-1
33	Stop33	0	-1	-1
34	Stop34	0	-1	-1
35	Stop35	0	-1	-1
36	Stop36	0	-1	-1
37	Stop37	0	-1	-1
38	Stop38	0	-1	-1
39	Stop39	0	-1	-1
40	Stop40	0	-1	-1
41	Stop41	0	-1	-1
42	Stop42	0	-1	-1
43	Stop43	0	-1	-1
44	Stop44	0	-1	-1
45	Stop45	0	-1	-1
46	Stop46	0	-1	-1
47	Stop47	0	-1	-1
48	Stop48	0	-1	-1
49	Stop49	0	-1	-1
50	Stop50	0	-1	-1
51	Stop51	0	-1	-1
52	Stop52	0	-1	-1
53	Stop53	0	-1	-1
54	Stop54	0	-1	-1
55	Stop55	0	-1	-1
56	Stop56	0	-1	-1
57	Stop57	0	-1	-1
58	Stop58	0	-1	-1
59	Stop59	0	-1	-1
60	Stop60	0	-1	-1
61	Stop61	0	-1	-1
62	Stop62	0	-1	-1
63	Stop63	0	-1	-1
64	Stop64	0	-1	-1
65	Stop65	0	-1	-1
66	Stop66	0	-1	-1
67	Stop67	0	-1	-1
68	Stop68	0	-1	-1
69	Stop69	0	-1	-1
70	Stop70	0	-1	-1
71	Stop71	0	-1	-1
72	Stop72	0	-1	-1
73	Stop73	0	-1	-1
74	Stop74	0	-1	-1
75	Stop75	0	-1	-1
76	Stop76	0	-1	-1
77	Stop77	0	-1	-1
78	Stop78	0	-1	-1
79	Stop79	0	-1	-1
80	Stop80	0	-1	-1
81	Stop81	0	-1	-1
82	Stop82	0	-1	-1
83	Stop83	0	-1	-1
84	Stop84	0	-1	-1
85	Stop85	0	-1	-1
86	Stop86	0	-1	-1
87	Stop87	0	-1	-1
88	Stop88	0	-1	-1
89	Stop89	0	-1	-1
90	Stop90	0	-1	-1
91	Stop91	0	-1	-1
92	Stop92	0	-1	-1
93	Stop93	0	-1	-1
94	Stop94	0	-1	-1
95	Stop95	0	-1	-1
96	Stop96	0	-1	-1
97	Stop97	0	-1	-1
98	Stop98	0	-1	-1
99	Stop99	0	-1	-1
100	Stop100	0	-1	-1
101	Stop101	0	-1	-1
102	Stop1_Route1	1	1	-1
103	Stop2_Route1	1	1	-1
104	Stop3_Route1	1	1	-1
105	Stop4_Route1	1	1	-1
106	Stop5_Route1	1	1	-1
