ID	Origin	Destination	Volume
0	71	3	450
1	3	76	450
2	76	34	450
3	34	28	900
4	28	82	900
5	82	67	900
6	67	61	900
7	61	18	450
8	18	29	450
9	29	73	900
10	73	74	9900
11	74	75	4725
12	75	11	3150
13	11	45	3150
14	45	49	1800
15	49	72	1350
16	72	51	900
17	51	54	900
18	54	13	900
19	13	52	2025
20	52	48	2025
21	48	77	450
22	77	101	450
23	101	78	450
24	78	79	900
25	79	43	900
26	43	97	450
27	97	60	450
28	60	36	450
29	36	45	900
30	45	11	3150
31	11	66	3150
32	66	57	4725
33	57	73	4725
34	74	47	6750
35	47	70	900
36	70	31	900
37	31	22	900
38	22	4	450
39	4	84	450
40	84	99	450
41	99	91	450
42	91	12	450
43	12	26	450
44	26	90	450
45	90	22	450
46	22	31	900
47	31	70	900
48	70	47	900
49	47	73	6750
50	72	53	450
51	53	69	450
52	69	89	900
53	89	19	450
54	19	41	450
55	41	9	450
56	9	23	450
57	23	7	450
58	7	81	1350
59	81	71	900
60	71	81	900
61	81	7	1350
62	7	88	450
63	88	9	450
64	9	41	450
65	41	85	450
66	85	89	450
67	89	69	900
68	69	53	450
69	53	72	450
70	72	49	1350
71	49	45	1800
72	22	90	450
73	90	26	450
74	26	12	450
75	12	91	450
76	91	99	450
77	99	84	450
78	84	4	450
79	4	22	450
80	45	36	900
81	36	37	450
82	37	60	450
83	60	97	450
84	97	43	450
85	43	79	900
86	79	78	900
87	78	101	450
88	101	77	450
89	77	48	450
90	48	52	2025
91	52	93	2025
92	93	13	2475
93	13	54	900
94	54	51	900
95	51	72	900
96	74	29	900
97	29	18	450
98	18	61	450
99	61	67	900
100	67	82	900
101	82	28	900
102	28	34	900
103	34	76	450
104	76	3	450
105	3	71	450
106	71	96	450
107	96	14	450
108	14	33	450
109	33	32	450
110	32	86	450
111	86	34	450
112	61	24	450
113	24	17	450
114	17	39	450
115	39	55	450
116	55	29	450
117	48	121	450
118	121	48	450
119	29	55	450
120	55	39	450
121	39	17	450
122	17	24	450
123	24	61	450
124	34	86	450
125	86	32	450
126	32	33	450
127	33	14	450
128	14	96	450
129	96	71	450
130	7	89	450
131	69	27	450
132	27	35	450
133	35	42	450
134	42	49	450
135	49	35	450
136	35	27	450
137	27	69	450
138	89	7	450
139	47	65	2250
140	65	50	1350
141	50	102	900
142	102	50	900
143	50	65	1350
144	65	47	2250
145	74	87	3600
146	87	6	3600
147	6	103	450
148	103	6	450
149	6	87	3600
150	87	73	3600
151	6	104	450
152	104	6	450
153	74	58	900
154	58	83	900
155	83	56	900
156	56	105	450
157	105	56	450
158	56	83	900
159	83	58	900
160	58	73	900
161	56	106	225
162	106	56	225
163	50	107	450
164	107	50	450
165	108	81	450
166	7	80	450
167	80	16	450
168	16	10	450
169	10	15	450
170	15	20	450
171	20	59	450
172	59	66	1575
173	65	2	900
174	2	100	450
175	100	109	450
176	109	100	450
177	100	2	450
178	2	65	900
179	75	59	1575
180	59	20	450
181	20	15	450
182	15	10	450
183	10	16	450
184	16	80	450
185	80	7	450
186	81	108	450
187	110	92	450
188	92	30	450
189	30	8	450
190	8	2	450
191	36	63	2250
192	63	38	450
193	38	43	450
194	78	111	450
195	111	78	450
196	43	38	450
197	38	63	450
198	63	36	2250
199	2	1	450
200	1	8	450
201	8	30	450
202	30	92	450
203	92	110	450
204	45	46	450
205	46	64	1575
206	64	13	1575
207	48	112	1125
208	112	48	1125
209	13	64	1575
210	64	46	1575
211	46	45	450
212	59	62	1125
213	62	94	1125
214	94	40	1125
215	40	46	1125
216	46	40	1125
217	40	94	1125
218	94	62	1125
219	62	59	1125
220	92	56	225
221	56	92	225
222	13	98	450
223	98	5	450
224	5	68	450
225	68	21	450
226	21	95	450
227	95	113	450
228	113	95	450
229	95	21	450
230	21	68	450
231	68	5	450
232	5	98	450
233	98	93	450
234	6	114	900
235	114	6	900
236	47	31	1800
237	31	44	1800
238	44	115	450
239	115	44	450
240	44	31	1800
241	31	47	1800
242	44	116	450
243	116	44	450
244	117	6	900
245	47	25	1800
246	25	63	1800
247	36	72	1800
248	72	118	1800
249	118	72	1800
250	72	36	1800
251	63	25	1800
252	25	47	1800
253	6	117	900
254	6	119	900
255	119	6	900
256	44	120	900
257	120	44	900
