route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
116648,ALLGO,322,Lijn 322 (R-net) Almere Parkwijk - A'dam Amstel,,3,e00713,ffffff,
116649,ALLGO,326,Lijn 326 (R-net) Almere Stad - Blaricum P+R,,3,e00713,ffffff,
116650,ALLGO,327,Lijn 327 (R-net) Almere Haven - Amsterdam Amstel,,3,e00713,ffffff,
116651,ALLGO,330,Lijn 330 (R-net) Almere Buiten - A'dam Bijlmer,,3,e00713,ffffff,
116652,ALLGO,N22,Lijn N22 (NightGo) A'dam Leidsepl.- Almere Buiten,,3,f59c00,000000,
116653,ALLGO,N23,Lijn N23 (NightGo) A'dam Centraal - Almere Centrum,,3,e00713,ffffff,
116654,ALLGO,M1,Lijn M1 (Havenmetro) Stat. Centrum - Haven Centrum,,3,0067a7,ffffff,
116655,ALLGO,M2,Lijn M2 (Buitenmetro) Stat. Centrum - Striphelden,,3,0ba13b,ffffff,
116656,ALLGO,M3,Lijn M3 (Muziekmetro) Stat. Centrum - Muziekwijk,,3,e00713,ffffff,
116657,ALLGO,M4,Lijn M4 (Poortmetro) Stat. Centrum - Stat. Poort,,3,fdc300,000000,
116658,ALLGO,M5,Lijn M5 (Dansmetro) Stat. Centrum  - Parkwijk,,3,f59c00,000000,
116659,ALLGO,M6,Lijn M6 (Noorderplassenmetro) Stat. Cen. - Nrdpl.,,3,007a86,ffffff,
116660,ALLGO,M7,Lijn M7 (Parkmetro) Stat. Centrum - Oostvaarders,,3,912e7b,ffffff,
116661,ALLGO,M8,Lijn M8 (Nobelhorstmetro) Stat. Centr - Nobelhorst,,3,cdd500,000000,
116662,ALLGO,22,Lijn 22 (FlexiGo) Station Buiten - De Vaart,,3,858c96,ffffff,
116663,ALLGO,24,Lijn 24 (DuinGo) Station Poort - Duin,,3,858c96,ffffff,
121594,ARR,620,Weener - Leer,,3,,,
121595,ARR,401,Groningen - Leer,,3,,,
122005,ARR,3,P3 - Vertrekhallen - Plaza,,3,,,
122052,ARR,1,Capital Programme - Plaza,,3,,,
126006,ARR,60,Echt - Maria Hoop,,3,00becd,000000,
126008,ARR,61,Roermond via Montfort - Echt,,3,00becd,000000,
126010,ARR,62,Roermond via Herkenbosch - Roermond.,,3,00becd,000000,
126012,ARR,63,Roermond via Posterholt - Roermond.,,3,00becd,000000,
126014,ARR,66,Venlo via Reuver - Roermond,,3,00becd,000000,
126016,ARR,67,Roermond via Linne - Echt,,3,00becd,000000,
126018,ARR,68,Roermond via Stevensweert - Echt,,3,00becd,000000,
126020,ARR,70,Venlo via Meijel - Weert,,3,00becd,000000,
126022,ARR,71,Weert via Roggel - Meijel,,3,00becd,000000,
126024,ARR,72,Roermond via Panningen - Venlo,,3,00becd,000000,
126026,ARR,73,Roermond - Weert,,3,00becd,000000,
126028,ARR,74,Nederweert via Weert - Stramproy,,3,00becd,000000,
126030,ARR,75,Meijel - Roermond,,3,00becd,000000,
126032,ARR,76,Maasbracht - Ell,,3,00becd,000000,
126034,ARR,77,Venlo via Kessel - Roermond,,3,00becd,000000,
126036,ARR,78,Baarlo - Grashoek,,3,00becd,000000,
126038,ARR,79,Horst/Sevenum - Panningen,,3,00becd,000000,
126040,ARR,80,Venray Station via Venray Centrum - Deurne,,3,00becd,000000,
126042,ARR,81,Venray via Wanssum - Well,,3,00becd,000000,
126044,ARR,83,Nijmegen - Venlo,,3,00becd,000000,
126046,ARR,84,Boxmeer - Gennep,,3,00becd,000000,
126048,ARR,85,Siebengewald - Boxmeer,,3,00becd,000000,
126050,ARR,86,Venlo via Greenport - Horst,,3,00becd,000000,
126052,ARR,87,Venlo via Horst/Sevenum - Venray,,3,00becd,000000,
126054,ARR,88,Venlo via Grubbenvorst - Venray Station,,3,00becd,000000,
126056,ARR,89,Venray via Horst/Lottum - Venlo,,3,00becd,000000,
126058,ARR,279,Lottum - Evertsoord,,3,00becd,000000,
126060,ARR,289,Venray Station - Horst,,3,00becd,000000,
126062,ARR,298,Merselo - Blitterswijck,,3,00becd,000000,
126064,ARR,1,Venlo Station via Tegelen - Kaldenkirchen,,3,ff00ff,000000,
126066,ARR,2,Blerick Klingerberg - Venlo Station,,3,800080,ffffff,
126068,ARR,3,Blerick Vossener - Venlo Station,,3,339966,000000,
126070,ARR,4,Venlo Station via Stalberg - Venlo Station.,,3,ffcc00,000000,
126072,ARR,5,Venlo Station via Noorderpoort - Venlo Station.,,3,0000ff,ffffff,
126074,ARR,1,Kitskensberg via Donderberg - Roermond Station,,3,ff00ff,000000,
126076,ARR,2,Roermond - Herten,,3,800080,ffffff,
126078,ARR,1,Weert Station - Weert Boshoven,,3,ff00ff,000000,
126080,ARR,2,Weert Station - Laar,,3,800080,ffffff,
126082,ARR,3,Weert Station - Leuken,,3,339966,000000,
126084,ARR,4,Weert Station - Altweerterheide,,3,ffcc00,000000,
126098,ARR,790,Weert via Ittervoort - Heythuysen,,3,00becd,000000,
126100,ARR,794,Boukoul - Roermond Leeuwen,,3,00becd,000000,
126102,ARR,796,Heythuysen - Nederweert,,3,00becd,000000,
126124,ARR,C11,Bocholt - Aalten,,3,808080,000000,
126126,ARR,23,Borculo - Doetinchem,,3,00becd,000000,
126128,ARR,24,'s-Heerenberg - Doetinchem,,3,00becd,000000,
126129,ARR,27,Arnhem via Giesbeek - Doetinchem,,3,00becd,000000,
