shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1105357,1,52.20928,5.97028,1
1105357,2,52.209,5.97666,437
1105357,3,52.20895,5.97924,613
1105357,4,52.20896,5.98081,720
1105357,5,52.2088,5.98541,1035
1105357,6,52.20873,5.98664,1119
1105357,7,52.20867,5.98749,1177
1105357,8,52.20858,5.98834,1236
1105357,9,52.20842,5.9895,1317
1105357,10,52.20828,5.99038,1379
1105357,11,52.20798,5.99185,1485
1105357,12,52.20781,5.99254,1536
1105357,13,52.20744,5.99388,1636
1105357,14,52.20702,5.99518,1736
1105357,15,52.2052,6.00048,2151
1105357,17,52.20218,6.00923,2837
1105357,18,52.20175,6.01052,2937
1105357,19,52.18257,6.07019,7542
1105357,20,52.18046,6.07663,8041
1105357,21,52.17819,6.08372,8588
1105357,23,52.17588,6.09086,9140
1105357,24,52.17465,6.09476,9440
1105357,25,52.16632,6.12059,11435
1105357,26,52.16587,6.12184,11534
1105357,27,52.164,6.12684,11934
1105357,28,52.16213,6.13183,12334
1105357,29,52.16117,6.13431,12535
1105357,30,52.16023,6.13681,12736
1105357,31,52.15952,6.13876,12891
1105357,32,52.15819,6.14233,13177
1105357,33,52.15789,6.14306,13237
1105357,34,52.15758,6.14371,13293
1105357,36,52.15733,6.14421,13337
1105357,37,52.1555,6.14744,13638
1105357,38,52.14329,6.16895,15641
1105357,39,52.1427,6.17003,15740
1105357,40,52.14245,6.17055,15785
1105357,41,52.14219,6.17122,15839
1105357,42,52.14187,6.17219,15914
1105357,43,52.1416,6.17325,15993
1105357,44,52.14147,6.1739,16040
1105357,45,52.14133,6.17494,16113
1105357,46,52.14123,6.17612,16195
1105357,47,52.14122,6.17722,16270
1105357,48,52.14126,6.17825,16341
1105357,49,52.14135,6.17896,16391
1105357,50,52.14147,6.17967,16441
1105357,51,52.14161,6.18036,16491
1105357,52,52.14366,6.18925,17141
1105357,53,52.14429,6.19211,17349
1105357,54,52.14462,6.19346,17448
1105357,55,52.14493,6.19445,17524
1105357,57,52.14504,6.1948,17551
1105357,58,52.14551,6.19602,17650
1105357,59,52.14627,6.19732,17773
1105357,60,52.14638,6.19747,17789
1105357,61,52.14726,6.19862,17915
1105357,62,52.14798,6.1995,18015
1105357,63,52.15472,6.20799,18964
1105357,64,52.15513,6.2085,19021
1105357,65,52.15576,6.20941,19115
1105357,66,52.15608,6.20992,19165
1105357,67,52.15639,6.21047,19216
1105357,68,52.15659,6.21094,19255
1105357,69,52.15684,6.2117,19314
1105357,70,52.15695,6.21213,19346
1105357,71,52.15708,6.21275,19391
1105357,72,52.15712,6.21307,19413
1105357,73,52.15726,6.21453,19514
1105357,74,52.1576,6.21889,19815
1105357,75,52.1579,6.22324,20115
1105357,76,52.15843,6.23005,20585
1105357,77,52.15847,6.23103,20652
1105357,78,52.15846,6.23249,20752
1105357,79,52.1584,6.23344,20817
1105357,80,52.15835,6.23405,20859
1105357,81,52.15705,6.24341,21516
1105357,82,52.15691,6.24437,21584
1105357,83,52.15669,6.24548,21664
1105357,84,52.15652,6.2462,21717
1105357,85,52.15629,6.24703,21779
1105357,86,52.15614,6.24754,21818
1105357,87,52.15586,6.24837,21883
1105357,88,52.15539,6.24956,21980
1105357,89,52.14672,6.26852,23597
1105357,90,52.1463,6.26933,23670
1105357,91,52.14563,6.27047,23778
1105357,92,52.14534,6.27092,23823
1105357,93,52.14464,6.27191,23926
1105357,94,52.14393,6.27276,24024
1105357,95,52.11223,6.30626,28231
1105357,96,52.11148,6.30711,28333
1105357,97,52.11111,6.30757,28385
1105357,98,52.11045,6.30853,28484
1105357,99,52.10982,6.30961,28586
1105357,100,52.10932,6.31062,28675
1105357,101,52.10901,6.31133,28735
1105357,102,52.10872,6.31206,28795
1105357,103,52.10832,6.31325,28888
1105357,104,52.10796,6.31454,28985
1105357,105,52.10768,6.31574,29073
1105357,106,52.1075,6.31665,29138
1105357,107,52.10739,6.31716,29175
1105357,109,52.10687,6.31939,29338
1105357,110,52.10653,6.32074,29438
1105357,111,52.10339,6.33444,30440
1105357,112,52.10279,6.3372,30641
1105357,113,52.10248,6.33857,30741
1105357,114,52.10214,6.33993,30842
1105357,115,52.09677,6.36006,32345
1105357,116,52.09641,6.36142,32446
1105357,117,52.09611,6.36281,32547
1105357,118,52.09587,6.36422,32647
1105357,119,52.09566,6.36563,32746
1105357,120,52.0868,6.4268,37053
1105357,121,52.08658,6.42824,37155
1105357,122,52.08633,6.42964,37255
1105357,123,52.08605,6.43101,37354
1105357,124,52.08574,6.43238,37454
1105357,125,52.08541,6.43376,37555
1105357,126,52.08503,6.43512,37657
1105357,127,52.08162,6.44701,38556
1105357,128,52.08095,6.44915,38721
1105357,130,52.08004,6.45226,38957
1105357,131,52.07971,6.45362,39057
1105357,132,52.07819,6.45891,39457
1105357,133,52.07779,6.46022,39557
1105357,134,52.07734,6.46147,39656
1105357,135,52.07684,6.46267,39755
1105357,136,52.07628,6.46383,39856
1105357,137,52.06994,6.47616,40957
1105357,138,52.05732,6.49901,43061
1105357,139,52.02785,6.55222,47968
1105357,140,52.02726,6.55335,48070
1105357,141,52.0267,6.5545,48171
1105357,142,52.02617,6.55567,48271
1105357,143,52.02566,6.55687,48371
1105357,144,52.02517,6.55809,48471
1105357,145,52.02472,6.55934,48570
1105357,146,52.01375,6.59115,51072
1105357,147,52.01284,6.59368,51273
1105357,148,52.01191,6.59644,51489
1105357,150,51.99881,6.63444,54478
1105357,151,51.97682,6.69802,59484
1105357,152,51.97637,6.69928,59584
1105357,153,51.97553,6.70114,59742
1105357,154,51.97532,6.70164,59784
1105357,155,51.9751,6.70222,59831
1105357,156,51.9745,6.70415,59979
1105357,158,51.97431,6.70477,60027
1105357,159,51.97405,6.70548,60084
1105357,160,51.97352,6.70666,60184
1105357,161,51.97266,6.70828,60331
1105357,162,51.97233,6.70884,60384
1105357,163,51.97169,6.70986,60484
1105357,164,51.97102,6.71084,60584
1105357,165,51.96766,6.71539,61071
1105358,1,51.96766,6.71539,1
1105358,2,51.97102,6.71084,487
1105358,3,51.97169,6.70986,587
1105358,4,51.97233,6.70884,687
1105358,5,51.97266,6.70828,740
1105358,6,51.97352,6.70666,887
1105358,7,51.97405,6.70548,987
1105358,8,51.97431,6.70477,1044
1105358,9,51.9745,6.70415,1092
1105358,11,51.9751,6.70222,1240
1105358,12,51.97532,6.70164,1287
1105358,13,51.97553,6.70114,1329
1105358,14,51.97637,6.69928,1487
1105358,15,51.97682,6.69802,1587
1105358,16,51.99881,6.63444,6593
1105358,17,52.01191,6.59644,9582
1105358,19,52.01284,6.59368,9798
1105358,20,52.01375,6.59115,9999
1105358,21,52.02472,6.55934,12501
1105358,22,52.02517,6.55809,12600
1105358,23,52.02566,6.55687,12700
1105358,24,52.02617,6.55567,12800
1105358,25,52.0267,6.5545,12900
1105358,26,52.02726,6.55335,13001
1105358,27,52.02785,6.55222,13103
1105358,28,52.05732,6.49901,18010
1105358,29,52.06994,6.47616,20114
1105358,30,52.07628,6.46383,21215
1105358,31,52.07684,6.46267,21316
1105358,32,52.07734,6.46147,21415
1105358,33,52.07779,6.46022,21514
1105358,34,52.07819,6.45891,21614
1105358,35,52.07971,6.45362,22014
1105358,36,52.08004,6.45226,22114
1105358,37,52.08095,6.44915,22350
1105358,39,52.08162,6.44701,22515
1105358,40,52.08503,6.43512,23414
1105358,41,52.08541,6.43376,23516
1105358,42,52.08574,6.43238,23617
1105358,43,52.08605,6.43101,23717
1105358,44,52.08633,6.42964,23816
1105358,45,52.08658,6.42824,23916
1105358,46,52.0868,6.4268,24018
1105358,47,52.09566,6.36563,28325
1105358,48,52.09587,6.36422,28424
1105358,49,52.09611,6.36281,28524
1105358,50,52.09641,6.36142,28625
1105358,51,52.09677,6.36006,28726
1105358,52,52.10214,6.33993,30229
1105358,53,52.10248,6.33857,30330
1105358,54,52.10279,6.3372,30430
1105358,55,52.10339,6.33444,30631
1105358,56,52.10653,6.32074,31633
1105358,57,52.10687,6.31939,31733
1105358,58,52.10739,6.31716,31896
1105358,60,52.1075,6.31665,31933
1105358,61,52.10768,6.31574,31998
1105358,62,52.10796,6.31454,32086
1105358,63,52.10832,6.31325,32183
1105358,64,52.10872,6.31206,32276
1105358,65,52.10901,6.31133,32336
1105358,66,52.10932,6.31062,32396
1105358,67,52.10982,6.30961,32485
1105358,68,52.11045,6.30853,32587
1105358,69,52.11111,6.30757,32686
1105358,70,52.11148,6.30711,32738
1105358,71,52.11223,6.30626,32840
1105358,72,52.14393,6.27276,37047
1105358,73,52.14464,6.27191,37145
1105358,74,52.14534,6.27092,37248
1105358,75,52.14563,6.27047,37293
1105358,76,52.1463,6.26933,37401
1105358,77,52.14672,6.26852,37474
1105358,78,52.15539,6.24956,39091
1105358,79,52.15586,6.24837,39188
1105358,80,52.15614,6.24754,39253
1105358,81,52.15629,6.24703,39292
1105358,82,52.15652,6.2462,39354
1105358,83,52.15669,6.24548,39407
1105358,84,52.15691,6.24437,39487
1105358,85,52.15705,6.24341,39555
1105358,86,52.15835,6.23405,40212
1105358,87,52.1584,6.23344,40254
1105358,88,52.15846,6.23249,40319
