trip_id,stop_sequence,stop_id,stop_headsign,arrival_time,departure_time,pickup_type,drop_off_type,timepoint,shape_dist_traveled,fare_units_traveled
228096877,1,3045550,,07:30:00,07:30:00,0,1,1,,0
228096877,2,2992901,,08:25:00,08:25:00,1,0,1,,0
228096878,1,3045550,,09:30:00,09:30:00,0,1,1,,0
228096878,2,2992901,,10:25:00,10:25:00,1,0,1,,0
228096879,1,3045550,,11:30:00,11:30:00,0,1,1,,0
228096879,2,2992901,,12:25:00,12:25:00,1,0,1,,0
228096880,1,3045550,,13:30:00,13:30:00,0,1,1,,0
228096880,2,2992901,,14:25:00,14:25:00,1,0,1,,0
228096881,1,3045550,,15:30:00,15:30:00,0,1,1,,0
228096881,2,2992901,,16:25:00,16:25:00,1,0,1,,0
228096882,1,3045550,,17:30:00,17:30:00,0,1,1,,0
228096882,2,2992901,,18:25:00,18:25:00,1,0,1,,0
228096883,1,3045550,,19:30:00,19:30:00,0,1,1,,0
228096883,2,2992901,,20:25:00,20:25:00,1,0,1,,0
228096884,1,3045550,,21:30:00,21:30:00,0,1,1,,0
228096884,2,2992901,,22:25:00,22:25:00,1,0,1,,0
253967086,1,2636921,,06:55:00,06:55:00,0,1,1,0,0
253967086,2,2636918,,06:55:45,06:55:46,0,0,0,394,394
253967086,3,2636923,,06:56:31,06:56:32,0,0,0,797,797
253967086,4,2636930,,06:57:25,06:57:43,0,0,0,1400,1412
253967086,5,2636883,,06:58:51,06:59:09,0,0,0,2147,2159
253967086,6,2635801,,07:02:42,07:03:00,0,0,0,4165,4158
253967086,7,2636003,,07:06:03,07:06:21,0,0,0,5984,5977
253967086,8,2636025,,07:06:52,07:06:53,0,0,0,6272,6265
253967086,9,2635971,,07:08:16,07:08:34,0,0,0,7187,7180
253967086,10,2635837,,07:09:13,07:09:14,0,0,0,7549,7542
253967086,11,2635834,,07:09:55,07:09:56,0,0,0,7929,7922
253967086,12,2635873,,07:10:19,07:10:20,0,0,0,8145,8138
253967086,13,2635850,,07:10:59,07:11:00,0,0,0,8505,8498
253967086,14,2635852,,07:12:07,07:12:25,0,0,0,9044,9038
253967086,15,2841711,,07:13:02,07:13:20,0,0,0,9389,9382
253967086,16,2635986,,07:15:42,07:15:42,1,0,0,10399,10392
253967087,1,2635986,,06:59:00,06:59:00,0,1,1,0,0
253967087,2,2635889,,07:01:55,07:02:13,0,0,0,1338,1338
253967087,3,2635853,,07:02:54,07:02:55,0,0,0,1630,1630
253967087,4,2635851,,07:03:42,07:04:00,0,0,0,2115,2116
253967087,5,2635872,,07:04:32,07:04:50,0,0,0,2566,2567
253967087,6,2635874,,07:05:17,07:05:18,0,0,0,2817,2818
253967087,7,2635838,,07:05:49,07:05:50,0,0,0,3110,3111
253967087,8,2635972,,07:06:33,07:06:34,0,0,0,3508,3509
253967087,9,2636026,,07:07:46,07:08:04,0,0,0,4313,4314
253967087,10,2636004,,07:08:43,07:08:44,0,0,0,4669,4669
253967087,11,2635800,,07:11:42,07:12:00,0,0,0,6427,6427
253967087,12,2636882,,07:17:02,07:17:20,0,0,0,8494,8507
253967087,13,2636931,,07:18:53,07:19:11,0,0,0,9216,9229
253967087,14,2636924,,07:20:34,07:20:52,0,0,0,9905,9885
253967087,15,2636917,,07:21:37,07:21:55,0,0,0,10304,10284
253967087,16,2636921,,07:22:42,07:22:42,1,0,0,10720,10709
253967088,1,2636921,,07:25:00,07:25:00,0,1,1,0,0
253967088,2,2636918,,07:25:45,07:25:46,0,0,0,394,394
253967088,3,2636923,,07:26:31,07:26:32,0,0,0,797,797
253967088,4,2636930,,07:27:25,07:27:43,0,0,0,1400,1412
253967088,5,2636883,,07:28:51,07:29:09,0,0,0,2147,2159
253967088,6,2635801,,07:32:42,07:33:00,0,0,0,4165,4158
253967088,7,2636003,,07:36:03,07:36:21,0,0,0,5984,5977
253967088,8,2636025,,07:36:52,07:36:53,0,0,0,6272,6265
253967088,9,2635971,,07:38:16,07:38:34,0,0,0,7187,7180
253967088,10,2635837,,07:39:13,07:39:14,0,0,0,7549,7542
253967088,11,2635834,,07:39:55,07:39:56,0,0,0,7929,7922
253967088,12,2635873,,07:40:19,07:40:20,0,0,0,8145,8138
253967088,13,2635850,,07:40:59,07:41:00,0,0,0,8505,8498
253967088,14,2635852,,07:42:07,07:42:25,0,0,0,9044,9038
253967088,15,2841711,,07:43:02,07:43:20,0,0,0,9389,9382
253967088,16,2635986,,07:45:42,07:45:42,1,0,0,10399,10392
253967089,1,2635986,,07:29:00,07:29:00,0,1,1,0,0
253967089,2,2635889,,07:31:55,07:32:13,0,0,0,1338,1338
253967089,3,2635853,,07:32:54,07:32:55,0,0,0,1630,1630
253967089,4,2635851,,07:33:42,07:34:00,0,0,0,2115,2116
253967089,5,2635872,,07:34:32,07:34:50,0,0,0,2566,2567
253967089,6,2635874,,07:35:17,07:35:18,0,0,0,2817,2818
253967089,7,2635838,,07:35:49,07:35:50,0,0,0,3110,3111
253967089,8,2635972,,07:36:33,07:36:34,0,0,0,3508,3509
253967089,9,2636026,,07:37:46,07:38:04,0,0,0,4313,4314
253967089,10,2636004,,07:38:43,07:38:44,0,0,0,4669,4669
253967089,11,2635800,,07:41:42,07:42:00,0,0,0,6427,6427
253967089,12,2636882,,07:47:02,07:47:20,0,0,0,8494,8507
253967089,13,2636931,,07:48:53,07:49:11,0,0,0,9216,9229
253967089,14,2636924,,07:50:34,07:50:52,0,0,0,9905,9885
253967089,15,2636917,,07:51:37,07:51:55,0,0,0,10304,10284
253967089,16,2636921,,07:52:42,07:52:42,1,0,0,10720,10709
253967090,1,2636921,,07:55:00,07:55:00,0,1,1,0,0
253967090,2,2636918,,07:55:45,07:55:46,0,0,0,394,394
253967090,3,2636923,,07:56:31,07:56:32,0,0,0,797,797
253967090,4,2636930,,07:57:25,07:57:43,0,0,0,1400,1412
253967090,5,2636883,,07:58:51,07:59:09,0,0,0,2147,2159
253967090,6,2635801,,08:02:42,08:03:00,0,0,0,4165,4158
253967090,7,2636003,,08:06:03,08:06:21,0,0,0,5984,5977
253967090,8,2636025,,08:06:52,08:06:53,0,0,0,6272,6265
253967090,9,2635971,,08:08:16,08:08:34,0,0,0,7187,7180
253967090,10,2635837,,08:09:13,08:09:14,0,0,0,7549,7542
253967090,11,2635834,,08:09:55,08:09:56,0,0,0,7929,7922
253967090,12,2635873,,08:10:19,08:10:20,0,0,0,8145,8138
253967090,13,2635850,,08:10:59,08:11:00,0,0,0,8505,8498
253967090,14,2635852,,08:12:07,08:12:25,0,0,0,9044,9038
253967090,15,2841711,,08:13:02,08:13:20,0,0,0,9389,9382
253967090,16,2635986,,08:15:42,08:15:42,1,0,0,10399,10392
253967091,1,2635986,,07:59:00,07:59:00,0,1,1,0,0
253967091,2,2635889,,08:01:55,08:02:13,0,0,0,1338,1338
253967091,3,2635853,,08:02:54,08:02:55,0,0,0,1630,1630
253967091,4,2635851,,08:03:42,08:04:00,0,0,0,2115,2116
253967091,5,2635872,,08:04:32,08:04:50,0,0,0,2566,2567
253967091,6,2635874,,08:05:17,08:05:18,0,0,0,2817,2818
253967091,7,2635838,,08:05:49,08:05:50,0,0,0,3110,3111
253967091,8,2635972,,08:06:33,08:06:34,0,0,0,3508,3509
253967091,9,2636026,,08:07:46,08:08:04,0,0,0,4313,4314
