ID	Name	Type	Fleet	Circuit	Scaling
0	Route0	0	5.0	131	1.0
1	Route1	0	5.0	132	1.0
2	Route2	0	4.0	114	1.0
3	Route3	0	2.0	40	1.0
4	Route4	0	3.0	67	1.0
5	Route5	0	3.0	65	1.0
6	Route6	0	4.0	110	1.0
7	Route7	0	2.0	56	1.0
8	Route8	0	2.0	75	1.0
9	Route9	0	2.0	86	1.0
10	Route10	0	1.0	55	1.0
11	Route11	0	3.0	88	1.0
12	Route12	0	5.0	128	1.0
13	Route13	0	5.0	146	1.0
14	Route14	0	4.0	116	1.0
15	Route15	0	5.0	125	1.0
16	Route16	0	3.0	136	1.0
17	Route17	0	3.0	89	1.0
18	Route18	0	10.0	150	1.0
19	Route19	0	4.0	94	1.0
20	Route20	0	3.0	79	1.0
21	Route21	0	7.0	104	1.0
22	Route22	0	8.0	110	1.0
23	Route23	0	2.0	30	1.0
