route_ID,name,bus_stop,StopID,traveltime to next stop
1,1 - De Vink,"Leiderdorpsebrug, Leiden",48,1
1,1 - De Vink,"Meerburgerkade, Leiden",52,1
1,1 - De Vink,"Wilhelminabrug, Leiden",93,1
1,1 - De Vink,"Burggravenlaan, Leiden",13,2
1,1 - De Vink,"Moddermanstraat, Leiden",54,1
1,1 - De Vink,"Lorentzkade, Leiden",51,1
1,1 - De Vink,"Station Lammenschans, Leiden",72,2
1,1 - De Vink,"Leliestraat, Leiden",49,2
1,1 - De Vink,"Korevaarstraat, Leiden",45,1
1,1 - De Vink,"Breestraat, Leiden",11,2
1,1 - De Vink,"Prinsessekade, Leiden",66,1
1,1 - De Vink,"Nieuwe Beestenmarkt, Leiden",57,3
1,1 - De Vink,"Station Leiden Centraal, Leiden (Aankomst)",73,2
1,1 - De Vink,"Station Leiden Centraal, Leiden (Vertrek)",74,3
1,1 - De Vink,"Gerard Brandtstraat, Leiden",29,1
1,1 - De Vink,"Damlaan, Leiden",18,1
1,1 - De Vink,"Opaalstraat, Leiden",61,1
1,1 - De Vink,"Robijnstraat, Leiden",67,2
1,1 - De Vink,"Turkooislaan, Leiden",82,0
1,1 - De Vink,"Gandhistraat, Leiden",28,1
1,1 - De Vink,"Helena Verburgstraat, Leiden",34,2
1,1 - De Vink,"Stevensbloem, Leiden",76,1
1,1 - De Vink,"Anne Frankweg, Leiden",3,3
1,1 - De Vink,"Station De Vink, Leiden",71,0
2,1 - Leyhof,"Station De Vink, Leiden",71,2
2,1 - Leyhof,"Anne Frankweg, Leiden",3,1
2,1 - Leyhof,"Stevensbloem, Leiden",76,1
2,1 - Leyhof,"Helena Verburgstraat, Leiden",34,1
2,1 - Leyhof,"Gandhistraat, Leiden",28,1
2,1 - Leyhof,"Turkooislaan, Leiden",82,1
2,1 - Leyhof,"Robijnstraat, Leiden",67,1
2,1 - Leyhof,"Opaalstraat, Leiden",61,1
2,1 - Leyhof,"Damlaan, Leiden",18,1
2,1 - Leyhof,"Gerard Brandtstraat, Leiden",29,3
2,1 - Leyhof,"Station Leiden Centraal, Leiden (Aankomst)",73,2
2,1 - Leyhof,"Station Leiden Centraal, Leiden (Vertrek)",74,2
2,1 - Leyhof,"Steenstraat, Leiden",75,3
2,1 - Leyhof,"Breestraat, Leiden",11,1
2,1 - Leyhof,"Korevaarstraat, Leiden",45,2
2,1 - Leyhof,"Leliestraat, Leiden",49,2
2,1 - Leyhof,"Station Lammenschans, Leiden",72,1
2,1 - Leyhof,"Lorentzkade, Leiden",51,1
2,1 - Leyhof,"Moddermanstraat, Leiden",54,2
2,1 - Leyhof,"Burggravenlaan, Leiden",13,2
2,1 - Leyhof,"Meerburgerkade, Leiden",52,1
2,1 - Leyhof,"Leiderdorpsebrug, Leiden",48,2
4,2 - Oranjewijk,"Station De Vink, Leiden",71,2
4,2 - Oranjewijk,"Zeldenrustweg, Leiden",96,1
4,2 - Oranjewijk,"Charley Tooropweg, Leiden",14,1
4,2 - Oranjewijk,"Heintje Davidsweg, Leiden",33,2
4,2 - Oranjewijk,"Hadewychlaan, Leiden",32,0
4,2 - Oranjewijk,"van Hoornkade, Leiden",86,1
4,2 - Oranjewijk,"Helena Verburgstraat, Leiden",34,1
4,2 - Oranjewijk,"Gandhistraat, Leiden",28,1
4,2 - Oranjewijk,"Turkooislaan, Leiden",82,1
4,2 - Oranjewijk,"Robijnstraat, Leiden",67,2
4,2 - Oranjewijk,"Opaalstraat, Leiden",61,2
4,2 - Oranjewijk,"Dr. Lelylaan, Leiden",24,1
4,2 - Oranjewijk,"Cruquiuslaan, Leiden",17,1
4,2 - Oranjewijk,"Jan Luykenlaan, Leiden",39,1
4,2 - Oranjewijk,"Muiderkring, Leiden",55,1
4,2 - Oranjewijk,"Gerard Brandtstraat, Leiden",29,2
4,2 - Oranjewijk,"Station Leiden Centraal, Leiden (Aankomst)",73,2
4,2 - Oranjewijk,"Station Leiden Centraal, Leiden (Vertrek)",74,2
4,2 - Oranjewijk,"Steenstraat, Leiden",75,3
4,2 - Oranjewijk,"Breestraat, Leiden",11,1
4,2 - Oranjewijk,"Korevaarstraat, Leiden",45,2
4,2 - Oranjewijk,"Leliestraat, Leiden",49,2
4,2 - Oranjewijk,"Station Lammenschans, Leiden",72,1
4,2 - Oranjewijk,"Lorentzkade, Leiden",51,1
4,2 - Oranjewijk,"Moddermanstraat, Leiden",54,2
4,2 - Oranjewijk,"Burggravenlaan, Leiden",13,2
4,2 - Oranjewijk,"Meerburgerkade, Leiden",52,1
4,2 - Oranjewijk,"Leiderdorpsebrug, Leiden",48,2
3,2 - De Vink,"Leiderdorpsebrug, Leiden",48,1
3,2 - De Vink,"Meerburgerkade, Leiden",52,1
3,2 - De Vink,"Wilhelminabrug, Leiden",93,1
3,2 - De Vink,"Burggravenlaan, Leiden",13,2
3,2 - De Vink,"Moddermanstraat, Leiden",54,1
3,2 - De Vink,"Lorentzkade, Leiden",51,1
3,2 - De Vink,"Station Lammenschans, Leiden",72,2
3,2 - De Vink,"Leliestraat, Leiden",49,2
3,2 - De Vink,"Korevaarstraat, Leiden",45,1
3,2 - De Vink,"Breestraat, Leiden",11,2
3,2 - De Vink,"Prinsessekade, Leiden",66,1
3,2 - De Vink,"Nieuwe Beestenmarkt, Leiden",57,3
3,2 - De Vink,"Station Leiden Centraal, Leiden (Aankomst)",73,2
3,2 - De Vink,"Station Leiden Centraal, Leiden (Vertrek)",74,3
3,2 - De Vink,"Gerard Brandtstraat, Leiden",29,1
3,2 - De Vink,"Muiderkring, Leiden",55,0
3,2 - De Vink,"Jan Luykenlaan, Leiden",39,1
3,2 - De Vink,"Cruquiuslaan, Leiden",17,2
3,2 - De Vink,"Dr. Lelylaan, Leiden",24,1
3,2 - De Vink,"Opaalstraat, Leiden",61,1
3,2 - De Vink,"Robijnstraat, Leiden",67,2
3,2 - De Vink,"Turkooislaan, Leiden",82,0
3,2 - De Vink,"Gandhistraat, Leiden",28,1
3,2 - De Vink,"Helena Verburgstraat, Leiden",34,1
3,2 - De Vink,"van Hoornkade, Leiden",86,1
3,2 - De Vink,"Hadewychlaan, Leiden",32,1
3,2 - De Vink,"Heintje Davidsweg, Leiden",33,1
3,2 - De Vink,"Charley Tooropweg, Leiden",14,2
3,2 - De Vink,"Zeldenrustweg, Leiden",96,3
3,2 - De Vink,"Station De Vink, Leiden",71,0
6,3 - Broekweg,"Sumatrabrug, Leiden",77,2
6,3 - Broekweg,"Zwembad de Zijl, Leiden",101,1
6,3 - Broekweg,"Sumatrastraat, Leiden",78,1
6,3 - Broekweg,"Surinamestraat, Leiden",79,1
6,3 - Broekweg,"Kooipark, Leiden",43,3
6,3 - Broekweg,"Zijlsingel, Leiden",97,1
6,3 - Broekweg,"Oosterkerkstraat, Leiden",60,2
6,3 - Broekweg,"Hogewoerd, Leiden",36,2
6,3 - Broekweg,"Korevaarstraat, Leiden",45,1
6,3 - Broekweg,"Breestraat, Leiden",11,2
6,3 - Broekweg,"Prinsessekade, Leiden",66,1
6,3 - Broekweg,"Nieuwe Beestenmarkt, Leiden",57,3
6,3 - Broekweg,"Station Leiden Centraal, Leiden (Aankomst)",73,4
6,3 - Broekweg,"Station Leiden Centraal, Leiden (Vertrek)",74,1
6,3 - Broekweg,"Leiden CS Westzijde, Leiden",47,3
6,3 - Broekweg,"Schipholweg, Leiden",70,2
6,3 - Broekweg,"Groenoord, Leiden",31,3
6,3 - Broekweg,"De Rode's, Leiden",22,1
6,3 - Broekweg,"Arendshorst, Leiden",4,1
6,3 - Broekweg,"Valkenhorst, Leiden",84,1
6,3 - Broekweg,"Zwartemeerlaan, Leiden",99,1
6,3 - Broekweg,"Vossemeerlaan, Leiden",91,1
6,3 - Broekweg,"Broekweg, Leiden",12,0
5,3 - Leyhof,"Broekweg, Leiden",12,1
5,3 - Leyhof,"Vossemeerlaan, Leiden",91,2
5,3 - Leyhof,"Zwartemeerlaan, Leiden",99,1
5,3 - Leyhof,"Valkenhorst, Leiden",84,1
5,3 - Leyhof,"Arendshorst, Leiden",4,2
5,3 - Leyhof,"De Rode's, Leiden",22,2
5,3 - Leyhof,"Groenoord, Leiden",31,1
5,3 - Leyhof,"Schipholweg, Leiden",70,3
5,3 - Leyhof,"Leiden CS Westzijde, Leiden",47,2
5,3 - Leyhof,"Station Leiden Centraal, Leiden (Aankomst)",73,3
5,3 - Leyhof,"Station Leiden Centraal, Leiden (Vertrek)",74,2
5,3 - Leyhof,"Steenstraat, Leiden",75,3
5,3 - Leyhof,"Breestraat, Leiden",11,1
5,3 - Leyhof,"Korevaarstraat, Leiden",45,1
5,3 - Leyhof,"Hogewoerd, Leiden",36,1
5,3 - Leyhof,"Hooigracht, Leiden",37,1
5,3 - Leyhof,"Oosterkerkstraat, Leiden",60,1
5,3 - Leyhof,"Zijlsingel, Leiden",97,3
5,3 - Leyhof,"Kooipark, Leiden",43,1
5,3 - Leyhof,"Surinamestraat, Leiden",79,2
5,3 - Leyhof,"Sumatrastraat, Leiden",78,1
5,3 - Leyhof,"Zwembad de Zijl, Leiden",101,1
5,3 - Leyhof,"Sumatrabrug, Leiden",77,2
7,4 - De Vink,"Broekweg, Leiden",12,1
7,4 - De Vink,"Fakkelgras, Leiden",26,2
7,4 - De Vink,"Vossebes, Leiden",90,2
7,4 - De Vink,"De Rode's, Leiden",22,2
7,4 - De Vink,"Groenoord, Leiden",31,1
7,4 - De Vink,"Schipholweg, Leiden",70,2
7,4 - De Vink,"Leiden CS Westzijde, Leiden",47,2
7,4 - De Vink,"Station Leiden Centraal, Leiden (Aankomst)",73,3
7,4 - De Vink,"Station Leiden Centraal, Leiden (Vertrek)",74,2
7,4 - De Vink,"Steenstraat, Leiden",75,3
7,4 - De Vink,"Breestraat, Leiden",11,1
