ID	Type	Line	Tail	Head	Time
0	0	0	121	122	2
1	0	0	122	123	1
2	0	0	123	124	1
3	0	0	124	125	1
4	0	0	125	126	1
5	0	0	126	127	1
6	0	0	127	128	1
7	0	0	128	129	1
8	0	0	129	130	1
9	0	0	130	131	3
10	0	0	131	132	3
11	0	0	132	133	2
12	0	0	133	134	3
13	0	0	134	135	1
14	0	0	135	136	2
15	0	0	136	137	2
16	0	0	137	138	1
17	0	0	138	139	1
18	0	0	139	140	2
19	0	0	140	141	2
20	0	0	141	142	1
21	0	0	142	143	19
22	0	0	143	144	2
23	0	0	144	145	1
24	0	0	145	146	1
25	0	0	146	147	1
26	0	0	147	148	3
27	0	0	148	149	1
28	0	0	149	150	2
29	0	0	150	135	2
30	0	0	135	134	1
31	0	0	134	151	2
32	0	0	151	152	1
33	0	0	152	131	3
34	0	0	132	153	1
35	0	0	153	154	3
36	0	0	154	155	2
37	0	0	155	156	3
38	0	0	156	157	1
39	0	0	157	158	1
40	0	0	158	159	1
41	0	0	159	160	1
42	0	0	160	161	1
43	0	0	161	162	1
44	0	0	162	163	2
45	0	0	163	156	2
46	0	0	156	155	2
47	0	0	155	154	1
48	0	0	154	153	2
49	0	0	153	131	2
50	0	0	137	164	1
51	0	0	164	165	2
52	0	0	165	166	1
53	0	0	166	167	3
54	0	0	167	168	1
55	0	0	168	169	2
56	0	0	169	170	1
57	0	0	170	171	1
58	0	0	171	172	3
59	0	0	172	121	2
60	1	0	70	121	0
61	2	0	121	70	0
62	1	0	2	122	0
63	2	0	122	2	0
64	1	0	75	123	0
65	2	0	123	75	0
66	1	0	33	124	0
67	2	0	124	33	0
68	1	0	27	125	0
69	2	0	125	27	0
70	1	0	81	126	0
71	2	0	126	81	0
72	1	0	66	127	0
73	2	0	127	66	0
74	1	0	60	128	0
75	2	0	128	60	0
76	1	0	17	129	0
77	2	0	129	17	0
78	1	0	28	130	0
79	2	0	130	28	0
80	1	0	72	131	0
81	2	0	131	72	0
82	1	0	73	132	0
83	2	0	132	73	0
84	1	0	74	133	0
85	2	0	133	74	0
86	1	0	10	134	0
87	2	0	134	10	0
88	1	0	44	135	0
89	2	0	135	44	0
90	1	0	48	136	0
91	2	0	136	48	0
92	1	0	71	137	0
93	2	0	137	71	0
94	1	0	50	138	0
95	2	0	138	50	0
96	1	0	53	139	0
97	2	0	139	53	0
98	1	0	12	140	0
99	2	0	140	12	0
100	1	0	51	141	0
101	2	0	141	51	0
102	1	0	47	142	0
103	2	0	142	47	0
104	1	0	76	143	0
105	2	0	143	76	0
106	1	0	100	144	0
107	2	0	144	100	0
108	1	0	77	145	0
109	2	0	145	77	0
110	1	0	78	146	0
111	2	0	146	78	0
112	1	0	42	147	0
113	2	0	147	42	0
114	1	0	96	148	0
115	2	0	148	96	0
116	1	0	59	149	0
117	2	0	149	59	0
118	1	0	35	150	0
119	2	0	150	35	0
120	1	0	65	151	0
121	2	0	151	65	0
122	1	0	56	152	0
123	2	0	152	56	0
124	1	0	46	153	0
125	2	0	153	46	0
126	1	0	69	154	0
127	2	0	154	69	0
128	1	0	30	155	0
129	2	0	155	30	0
130	1	0	21	156	0
131	2	0	156	21	0
132	1	0	3	157	0
133	2	0	157	3	0
134	1	0	83	158	0
135	2	0	158	83	0
136	1	0	98	159	0
137	2	0	159	98	0
138	1	0	90	160	0
139	2	0	160	90	0
140	1	0	11	161	0
141	2	0	161	11	0
142	1	0	25	162	0
143	2	0	162	25	0
144	1	0	89	163	0
145	2	0	163	89	0
146	1	0	52	164	0
147	2	0	164	52	0
148	1	0	68	165	0
149	2	0	165	68	0
150	1	0	88	166	0
151	2	0	166	88	0
152	1	0	18	167	0
153	2	0	167	18	0
154	1	0	40	168	0
155	2	0	168	40	0
156	1	0	8	169	0
157	2	0	169	8	0
158	1	0	22	170	0
159	2	0	170	22	0
160	1	0	6	171	0
161	2	0	171	6	0
162	1	0	80	172	0
163	2	0	172	80	0
164	0	1	173	174	1
165	0	1	174	175	1
166	0	1	175	176	2
167	0	1	176	177	1
168	0	1	177	178	1
169	0	1	178	179	2
170	0	1	179	180	3
171	0	1	180	181	1
172	0	1	181	182	2
173	0	1	182	183	1
174	0	1	183	184	2
175	0	1	184	185	2
176	0	1	185	186	1
177	0	1	186	187	2
178	0	1	187	188	1
179	0	1	188	189	3
180	0	1	189	190	2
181	0	1	190	191	1
182	0	1	191	192	3
183	0	1	192	193	2
184	0	1	193	194	3
185	0	1	194	195	1
186	0	1	195	196	1
187	0	1	196	197	1
188	0	1	197	198	1
189	0	1	198	199	2
190	0	1	199	200	1
191	0	1	200	201	1
192	0	1	201	194	2
193	0	1	194	193	2
194	0	1	193	192	1
195	0	1	192	191	3
196	0	1	191	189	2
197	0	1	190	202	2
198	0	1	202	186	3
199	0	1	186	185	1
200	0	1	185	203	1
201	0	1	203	204	1
202	0	1	204	205	1
203	0	1	205	206	1
204	0	1	206	207	3
205	0	1	207	208	1
206	0	1	208	209	2
207	0	1	209	210	1
208	0	1	210	211	1
209	0	1	211	212	20
210	0	1	212	213	1
211	0	1	213	214	1
212	0	1	214	215	1
213	0	1	215	216	2
214	0	1	216	217	1
215	0	1	217	183	1
216	0	1	190	218	3
217	0	1	218	219	1
218	0	1	219	220	1
219	0	1	220	221	1
220	0	1	221	222	2
221	0	1	222	223	0
222	0	1	223	224	1
223	0	1	224	225	2
224	0	1	225	226	1
225	0	1	226	173	3
226	1	1	70	173	0
227	2	1	173	70	0
228	1	1	80	174	0
229	2	1	174	80	0
230	1	1	6	175	0
231	2	1	175	6	0
232	1	1	87	176	0
233	2	1	176	87	0
234	1	1	8	177	0
235	2	1	177	8	0
236	1	1	40	178	0
237	2	1	178	40	0
238	1	1	84	179	0
239	2	1	179	84	0
240	1	1	88	180	0
241	2	1	180	88	0
