ID	Name	Type	Line
0	Stop0	0	-1
1	Stop1	0	-1
2	Stop2	0	-1
3	Stop3	0	-1
4	Stop4	0	-1
5	Stop5	0	-1
6	Stop6	0	-1
7	Stop7	0	-1
8	Stop8	0	-1
9	Stop9	0	-1
10	Stop10	0	-1
11	Stop11	0	-1
12	Stop12	0	-1
13	Stop13	0	-1
14	Stop14	0	-1
15	Stop15	0	-1
16	Stop16	0	-1
17	Stop17	0	-1
18	Stop18	0	-1
19	Stop19	0	-1
20	Stop20	0	-1
21	Stop21	0	-1
22	Stop22	0	-1
23	Stop23	0	-1
24	Stop24	0	-1
25	Stop25	0	-1
26	Stop26	0	-1
27	Stop27	0	-1
28	Stop28	0	-1
29	Stop29	0	-1
30	Stop30	0	-1
31	Stop31	0	-1
32	Stop32	0	-1
33	Stop33	0	-1
34	Stop34	0	-1
35	Stop35	0	-1
36	Stop36	0	-1
37	Stop37	0	-1
38	Stop38	0	-1
39	Stop39	0	-1
40	Stop40	0	-1
41	Stop41	0	-1
42	Stop42	0	-1
43	Stop43	0	-1
44	Stop44	0	-1
45	Stop45	0	-1
46	Stop46	0	-1
47	Stop47	0	-1
48	Stop48	0	-1
49	Stop49	0	-1
50	Stop50	0	-1
51	Stop51	0	-1
52	Stop52	0	-1
53	Stop53	0	-1
54	Stop54	0	-1
55	Stop55	0	-1
56	Stop56	0	-1
57	Stop57	0	-1
58	Stop58	0	-1
59	Stop59	0	-1
60	Stop60	0	-1
61	Stop61	0	-1
62	Stop62	0	-1
63	Stop63	0	-1
64	Stop64	0	-1
65	Stop65	0	-1
66	Stop66	0	-1
67	Stop67	0	-1
68	Stop68	0	-1
69	Stop69	0	-1
70	Stop70	0	-1
71	Stop71	0	-1
72	Stop72	0	-1
73	Stop73	0	-1
74	Stop74	0	-1
75	Stop75	0	-1
76	Stop76	0	-1
77	Stop77	0	-1
78	Stop78	0	-1
79	Stop79	0	-1
80	Stop80	0	-1
81	Stop81	0	-1
82	Stop82	0	-1
83	Stop83	0	-1
84	Stop84	0	-1
85	Stop85	0	-1
86	Stop86	0	-1
87	Stop87	0	-1
88	Stop88	0	-1
89	Stop89	0	-1
90	Stop90	0	-1
91	Stop91	0	-1
92	Stop92	0	-1
93	Stop93	0	-1
94	Stop94	0	-1
95	Stop95	0	-1
96	Stop96	0	-1
97	Stop97	0	-1
98	Stop98	0	-1
99	Stop99	0	-1
100	Stop100	0	-1
101	Stop101	0	-1
102	Stop102	0	-1
103	Stop103	0	-1
104	Stop104	0	-1
105	Stop105	0	-1
106	Stop106	0	-1
107	Stop107	0	-1
108	Stop108	0	-1
109	Stop109	0	-1
110	Stop110	0	-1
111	Stop111	0	-1
112	Stop112	0	-1
113	Stop113	0	-1
114	Stop114	0	-1
115	Stop115	0	-1
116	Stop116	0	-1
117	Stop117	0	-1
118	Stop118	0	-1
119	Stop119	0	-1
120	Stop120	0	-1
121	Stop70_Route0	1	0
122	Stop2_Route0	1	0
123	Stop75_Route0	1	0
124	Stop33_Route0	1	0
125	Stop27_Route0	1	0
126	Stop81_Route0	1	0
127	Stop66_Route0	1	0
128	Stop60_Route0	1	0
129	Stop17_Route0	1	0
130	Stop28_Route0	1	0
131	Stop72_Route0	1	0
132	Stop73_Route0	1	0
133	Stop74_Route0	1	0
134	Stop10_Route0	1	0
135	Stop44_Route0	1	0
136	Stop48_Route0	1	0
137	Stop71_Route0	1	0
138	Stop50_Route0	1	0
139	Stop53_Route0	1	0
140	Stop12_Route0	1	0
141	Stop51_Route0	1	0
142	Stop47_Route0	1	0
143	Stop76_Route0	1	0
144	Stop100_Route0	1	0
145	Stop77_Route0	1	0
146	Stop78_Route0	1	0
147	Stop42_Route0	1	0
148	Stop96_Route0	1	0
149	Stop59_Route0	1	0
150	Stop35_Route0	1	0
151	Stop65_Route0	1	0
152	Stop56_Route0	1	0
153	Stop46_Route0	1	0
154	Stop69_Route0	1	0
155	Stop30_Route0	1	0
156	Stop21_Route0	1	0
157	Stop3_Route0	1	0
158	Stop83_Route0	1	0
159	Stop98_Route0	1	0
160	Stop90_Route0	1	0
161	Stop11_Route0	1	0
162	Stop25_Route0	1	0
163	Stop89_Route0	1	0
164	Stop52_Route0	1	0
165	Stop68_Route0	1	0
166	Stop88_Route0	1	0
167	Stop18_Route0	1	0
168	Stop40_Route0	1	0
169	Stop8_Route0	1	0
170	Stop22_Route0	1	0
171	Stop6_Route0	1	0
172	Stop80_Route0	1	0
173	Stop70_Route1	1	1
174	Stop80_Route1	1	1
175	Stop6_Route1	1	1
176	Stop87_Route1	1	1
177	Stop8_Route1	1	1
178	Stop40_Route1	1	1
179	Stop84_Route1	1	1
180	Stop88_Route1	1	1
181	Stop68_Route1	1	1
182	Stop52_Route1	1	1
183	Stop71_Route1	1	1
184	Stop48_Route1	1	1
185	Stop44_Route1	1	1
186	Stop10_Route1	1	1
187	Stop65_Route1	1	1
188	Stop56_Route1	1	1
189	Stop72_Route1	1	1
190	Stop73_Route1	1	1
191	Stop46_Route1	1	1
192	Stop69_Route1	1	1
193	Stop30_Route1	1	1
194	Stop21_Route1	1	1
195	Stop89_Route1	1	1
196	Stop25_Route1	1	1
197	Stop11_Route1	1	1
198	Stop90_Route1	1	1
199	Stop98_Route1	1	1
200	Stop83_Route1	1	1
201	Stop3_Route1	1	1
202	Stop74_Route1	1	1
203	Stop35_Route1	1	1
204	Stop36_Route1	1	1
205	Stop59_Route1	1	1
206	Stop96_Route1	1	1
207	Stop42_Route1	1	1
208	Stop78_Route1	1	1
209	Stop77_Route1	1	1
210	Stop100_Route1	1	1
211	Stop76_Route1	1	1
212	Stop47_Route1	1	1
213	Stop51_Route1	1	1
214	Stop92_Route1	1	1
215	Stop12_Route1	1	1
216	Stop53_Route1	1	1
217	Stop50_Route1	1	1
218	Stop28_Route1	1	1
219	Stop17_Route1	1	1
220	Stop60_Route1	1	1
221	Stop66_Route1	1	1
222	Stop81_Route1	1	1
223	Stop27_Route1	1	1
224	Stop33_Route1	1	1
225	Stop75_Route1	1	1
226	Stop2_Route1	1	1
227	Stop70_Route2	1	2
228	Stop95_Route2	1	2
229	Stop13_Route2	1	2
230	Stop32_Route2	1	2
231	Stop31_Route2	1	2
232	Stop85_Route2	1	2
233	Stop33_Route2	1	2
234	Stop27_Route2	1	2
235	Stop81_Route2	1	2
236	Stop66_Route2	1	2
237	Stop60_Route2	1	2
238	Stop23_Route2	1	2
239	Stop16_Route2	1	2
240	Stop38_Route2	1	2
241	Stop54_Route2	1	2
242	Stop28_Route2	1	2
243	Stop72_Route2	1	2
244	Stop73_Route2	1	2
245	Stop74_Route2	1	2
246	Stop10_Route2	1	2
247	Stop44_Route2	1	2
248	Stop48_Route2	1	2
249	Stop71_Route2	1	2
250	Stop50_Route2	1	2
251	Stop53_Route2	1	2
252	Stop12_Route2	1	2
253	Stop51_Route2	1	2
254	Stop47_Route2	1	2
255	Stop120_Route2	1	2
256	Stop92_Route2	1	2
257	Stop65_Route2	1	2
258	Stop56_Route2	1	2
259	Stop70_Route3	1	3
260	Stop80_Route3	1	3
261	Stop6_Route3	1	3
262	Stop88_Route3	1	3
263	Stop68_Route3	1	3
264	Stop26_Route3	1	3
265	Stop34_Route3	1	3
266	Stop41_Route3	1	3
267	Stop48_Route3	1	3
268	Stop44_Route3	1	3
269	Stop10_Route3	1	3
270	Stop65_Route3	1	3
271	Stop56_Route3	1	3
272	Stop72_Route3	1	3
273	Stop73_Route3	1	3
274	Stop74_Route3	1	3
275	Stop73_Route4	1	4
276	Stop46_Route4	1	4
277	Stop64_Route4	1	4
278	Stop49_Route4	1	4
279	Stop101_Route4	1	4
280	Stop72_Route4	1	4
281	Stop73_Route5	1	5
282	Stop46_Route5	1	5
283	Stop64_Route5	1	5
284	Stop49_Route5	1	5
285	Stop101_Route5	1	5
286	Stop72_Route5	1	5
287	Stop73_Route6	1	6
288	Stop86_Route6	1	6
289	Stop5_Route6	1	6
290	Stop102_Route6	1	6
291	Stop72_Route6	1	6
292	Stop73_Route7	1	7
293	Stop86_Route7	1	7
294	Stop5_Route7	1	7
295	Stop103_Route7	1	7
296	Stop72_Route7	1	7
297	Stop73_Route8	1	8
298	Stop57_Route8	1	8
299	Stop82_Route8	1	8
300	Stop55_Route8	1	8
301	Stop104_Route8	1	8
302	Stop72_Route8	1	8
303	Stop73_Route9	1	9
304	Stop57_Route9	1	9
305	Stop82_Route9	1	9
306	Stop55_Route9	1	9
307	Stop104_Route9	1	9
308	Stop72_Route9	1	9
309	Stop73_Route10	1	10
310	Stop57_Route10	1	10
311	Stop82_Route10	1	10
312	Stop55_Route10	1	10
313	Stop105_Route10	1	10
314	Stop72_Route10	1	10
315	Stop73_Route11	1	11
316	Stop46_Route11	1	11
317	Stop64_Route11	1	11
318	Stop49_Route11	1	11
319	Stop106_Route11	1	11
320	Stop72_Route11	1	11
321	Stop107_Route12	1	12
322	Stop80_Route12	1	12
323	Stop6_Route12	1	12
324	Stop79_Route12	1	12
325	Stop15_Route12	1	12
326	Stop9_Route12	1	12
327	Stop14_Route12	1	12
328	Stop19_Route12	1	12
329	Stop58_Route12	1	12
330	Stop65_Route12	1	12
331	Stop56_Route12	1	12
332	Stop72_Route12	1	12
333	Stop73_Route12	1	12
334	Stop46_Route12	1	12
335	Stop64_Route12	1	12
336	Stop1_Route12	1	12
337	Stop99_Route12	1	12
338	Stop108_Route12	1	12
339	Stop74_Route12	1	12
340	Stop109_Route13	1	13
341	Stop91_Route13	1	13
342	Stop29_Route13	1	13
343	Stop7_Route13	1	13
344	Stop1_Route13	1	13
345	Stop64_Route13	1	13
346	Stop46_Route13	1	13
347	Stop72_Route13	1	13
348	Stop73_Route13	1	13
349	Stop74_Route13	1	13
350	Stop10_Route13	1	13
351	Stop44_Route13	1	13
352	Stop35_Route13	1	13
353	Stop62_Route13	1	13
354	Stop37_Route13	1	13
355	Stop42_Route13	1	13
356	Stop78_Route13	1	13
357	Stop77_Route13	1	13
358	Stop110_Route13	1	13
359	Stop65_Route13	1	13
360	Stop56_Route13	1	13
361	Stop0_Route13	1	13
362	Stop73_Route14	1	14
363	Stop74_Route14	1	14
364	Stop10_Route14	1	14
365	Stop44_Route14	1	14
366	Stop45_Route14	1	14
367	Stop63_Route14	1	14
368	Stop12_Route14	1	14
369	Stop51_Route14	1	14
370	Stop47_Route14	1	14
371	Stop111_Route14	1	14
372	Stop92_Route14	1	14
373	Stop65_Route14	1	14
374	Stop56_Route14	1	14
375	Stop72_Route14	1	14
376	Stop73_Route15	1	15
377	Stop74_Route15	1	15
378	Stop58_Route15	1	15
379	Stop61_Route15	1	15
