ID, lat, lng, region
0, 4.476591, 52.170112, 81
1, 4.481789, 52.173307, 82
2, 4.456047, 52.150761, 100
3, 4.503727, 52.175828, 50
4, 4.513102, 52.148771, 22
5, 4.460629, 52.165125, 97
6, 4.467661, 52.146619, 73
7, 4.471139, 52.169368, 72
8, 4.470806, 52.141466, 40
9, 4.473205, 52.153439, 115
10, 4.491243, 52.157532, 83
11, 4.510137, 52.181422, 49
12, 4.507182, 52.154821, 20
13, 4.44854, 52.150612, 101
14, 4.473222, 52.156909, 114
15, 4.472554, 52.149578, 57
16, 4.463423, 52.161515, 106
17, 4.470052, 52.15968, 113
18, 4.478695, 52.142884, 39
19, 4.476015, 52.158953, 67
20, 4.508426, 52.14284, 11
21, 4.498752, 52.173831, 64
22, 4.471293, 52.145487, 42
23, 4.463881, 52.159128, 110
24, 4.489994, 52.163707, 91
25, 4.502586, 52.181015, 46
26, 4.486125, 52.148271, 58
27, 4.45736, 52.157171, 95
28, 4.47352, 52.162358, 66
29, 4.463896, 52.169725, 69
30, 4.493743, 52.168418, 87
31, 4.44578, 52.155372, 89
32, 4.443192, 52.152654, 53
33, 4.454122, 52.155501, 99
34, 4.48891, 52.150027, 76
35, 4.494945, 52.155844, 60
36, 4.497534, 52.159378, 44
37, 4.499515, 52.162637, 54
38, 4.465407, 52.163113, 112
39, 4.490145, 52.153246, 77
40, 4.473744, 52.141399, 41
41, 4.493246, 52.149458, 75
42, 4.506437, 52.163696, 29
43, 4.505643, 52.167636, 45
44, 4.493392, 52.156012, 61
45, 4.49755, 52.154928, 62
46, 4.480336, 52.16641, 121
47, 4.520981, 52.15237, 35
48, 4.494327, 52.15094, 78
49, 4.473882, 52.173228, 68
50, 4.498162, 52.147679, 80
51, 4.517226, 52.154554, 33
52, 4.486637, 52.145327, 59
53, 4.50398, 52.150492, 19
54, 4.469302, 52.163458, 90
55, 4.457219, 52.168172, 96
56, 4.486101, 52.163192, 107
57, 4.472055, 52.163767, 71
58, 4.481181, 52.160053, 119
59, 4.500553, 52.15896, 32
60, 4.466626, 52.157172, 109
61, 4.48176, 52.158179, 85
62, 4.49751, 52.16131, 65
63, 4.50135, 52.154885, 18
64, 4.479999, 52.170021, 94
65, 4.485565, 52.161507, 108
66, 4.462858, 52.15494, 111
67, 4.513888, 52.146655, 23
68, 4.481483, 52.148038, 52
69, 4.488101, 52.169867, 93
70, 4.455354, 52.146891, 104
71, 4.492968, 52.147308, 79
72, 4.482504, 52.16552, 120
73, 4.482503, 52.165519, 117
74, 4.484644, 52.162264, 118
75, 4.452693, 52.152559, 98
76, 4.512309, 52.163155, 37
77, 4.50647, 52.166456, 30
78, 4.50642, 52.166466, 28
79, 4.470362, 52.14815, 116
80, 4.460797, 52.145792, 74
81, 4.459196, 52.157464, 105
82, 4.461172, 52.166667, 88
83, 4.507802, 52.175292, 51
84, 4.476568, 52.143317, 38
85, 4.449805, 52.155781, 103
86, 4.464921, 52.163972, 92
87, 4.470851, 52.144972, 43
88, 4.477632, 52.147757, 56
89, 4.497163, 52.178798, 63
90, 4.514149, 52.1804, 17
91, 4.458579, 52.170223, 70
92, 4.512279, 52.154994, 36
93, 4.48292, 52.154287, 84
94, 4.503278, 52.144599, 25
95, 4.449948, 52.147558, 102
96, 4.505135, 52.158554, 21
97, 4.514531, 52.1519, 34
98, 4.512719, 52.175294, 27
99, 4.486935, 52.172564, 86
100, 4.511677, 52.167034, 31
101, 4.434715, 52.247917, 13
102, 4.6448461, 52.2591382, 0
103, 4.432088, 52.240687, 12
104, 4.433316, 52.218883, 26
105, 4.411106, 52.170541, 55
106, 4.562952, 52.27075, 7
107, 4.447137, 52.115213, 24
108, 4.484557, 52.225784, 48
109, 4.516215, 52.215361, 47
110, 4.632706, 52.204227, 6
111, 4.658244, 52.124904, 1
112, 4.647006, 52.076809, 4
113, 4.63914, 52.387424, 8
114, 4.761093, 52.309247, 3
115, 4.675527, 52.225219, 2
116, 4.416026, 52.21582, 14
117, 4.477288, 52.047047, 5
118, 4.3872674, 52.1975074, 15
119, 4.541271, 52.158072, 16
120, 4.528679, 52.1437588, 10
