ID ; Vertices
0; [5, 0, 2, 3, 4]
1; [10, 6, 7, 8, 9]
2; [10, 2, 3, 6]
3; [10, 2, 0, -1, 9]
4; [13, 8, 9, -1, 12]
5; [18, 11, 1, -1, 12, 17]
6; [22, 4, 3, 6, 7, 21]
7; [24, 5, 4, 22, 20, 23]
8; [-1, 0, 5, 24]
9; []
10; [42, 17, 12, 13, 14, 41]
11; [43, 31, 28, 19, 18, 17, 42]
12; [48, 44, 45, 46, 47]
13; [48, -1, 24, 23, 44]
14; [47, 27, 32, 46]
15; [48, -1, 1, 25, 27, 47]
16; [55, 35, 21, 7, 8, 13, 14, 16, 15, 54]
17; [57, 55, 35, 56]
18; [65, 61, 60, 63, 62, 64]
19; [64, 30, 31, 28, 59, 62]
20; [65, 39, 38, 30, 64]
21; [69, 61, 65, 39, 40, 37, 68]
22; [72, 43, 31, 30, 38, 70]
23; [72, 43, 42, 41, 71]
24; [75, 34, 26, 25, 1, 11, 49, 50, 33, 74]
25; [78, 58, 59, 28, 19, 77]
26; [82, 32, 46, 45, 53, 81]
27; [84, 54, 55, 57, 83]
28; [88, 67, 86]
29; [87, 68, 37, 29, 66, 67, 86]
30; [89, 66, 67, 88]
31; [90, 84, 54, 15, 29, 66, 89]
32; [93, 69, 61, 60, 36, 92]
33; [97, 95, 94, 96]
34; [95, 70, 72, 71, 94]
35; [96, 16, 14, 41, 71, 94]
36; [97, 40, 39, 38, 70, 95]
37; [97, 40, 37, 29, 15, 16, 96]
38; [101, 73, 79, 99]
39; [101, 73, 49, 11, 18, 19, 77, 76, 100]
40; [104, 50, 33, 52, 103]
41; [105, 79, 73, 49, 50, 104]
42; [108, 105, 79, 99, 98, 106]
43; [108, 105, 104, 103, 107]
44; [110, 80, 91, 92, 36, 109]
45; [115, 87, 86, 88, 89, 90, 85, 114]
46; [121, 118, 116, 117, 119, 120]
47; [118, 56, 35, 21, 22, 20, 116]
48; [117, 112, 111, 53, 45, 44, 23, 20, 116]
49; [121, 83, 57, 56, 118]
50; [120, 85, 114, 113, 119]
51; [121, 83, 84, 90, 85, 120]
52; [123, 100, 76, 102, 122]
53; [125, 51, 34, 26, 124]
54; [130, 115, 87, 68, 69, 93, 129]
55; [132, 124, 26, 25, 27, 32, 82, 131]
56; [136, 98, 99, 101, 100, 123, 135]
57; [139, 106, 98, 136]
58; [143, 102, 122, 140]
59; [143, 102, 76, 77, 78, 142]
60; [146, 109, 110, 144]
61; [145, 126, 80, 110, 144]
62; [147, 63, 60, 36, 109, 146]
63; [152, 113, 119, 117, 112, 151]
64; [153, 130, 115, 114, 113, 152]
65; [155, 129, 93, 92, 91, 154]
66; [161, 157, 159, 158, 156, 160]
67; [160, 138, 137, 148, 149, 128, 156]
68; [163, 150, 111, 53, 81, 133, 162]
69; [168, 133, 162, 165, 166]
70; [168, 133, 81, 82, 131, 167]
71; [171, 164, 159, 157, 169]
72; [171, 164, 163, 162, 165, 170]
73; [173, 52, 103, 107, 172]
74; [174, 134, 74, 33, 52, 173]
75; [180, 177, 176, 178, 179]
76; [178, 142, 143, 140, 141, 176]
77; [177, 145, 126, 127, 141, 176]
78; [180, 147, 146, 144, 145, 177]
79; [179, 58, 78, 142, 178]
80; [180, 147, 63, 62, 59, 58, 179]
81; [182, 158, 159, 164, 163, 150, 181]
82; [183, 151, 112, 111, 150, 181]
83; [185, 127, 126, 80, 91, 154, 184]
84; [186, 148, 137, 135, 123, 122, 140, 141, 127, 185]
85; [187, 149, 148, 186]
86; [189, 153, 152, 151, 183, 188]
87; [190, 155, 129, 130, 153, 189]
88; [192, 167, 168, 166, 191]
89; [194, 125, 124, 132, 193]
90; [196, 169, 171, 170, 195]
91; [198, 190, 155, 154, 184, 197]
92; [202, 195, 170, 165, 166, 191, 201]
93; [205, 188, 189, 190, 198, 203]
94; [205, 188, 183, 181, 182, 204]
95; [210, 206, 207, 208, 209]
96; [209, 192, 167, 131, 132, 193, 199, 208]
97; [210, 200, 201, 191, 192, 209]
98; [216, 211, 214, 213, 212, 215]
99; [214, 199, 208, 207, 211]
100; [216, 134, 174, 175, 206, 207, 211]
101; [213, 194, 125, 51, 212]
102; [215, 75, 34, 51, 212]
103; [214, 199, 193, 194, 213]
104; [216, 134, 74, 75, 215]
105; [218, 200, 210, 206, 175, 217]
106; [219, 202, 201, 200, 218]
107; [221, 203, 198, 197, 220]
108; [222, 187, 186, 185, 184, 197, 220]
109; [229, 223, 225, 224, 226, 227, 228]
110; [225, 219, 218, 217, 223]
111; [229, 172, 173, 174, 175, 217, 223]
112; [225, 219, 202, 195, 196, 224]
113; [226, 161, 157, 169, 196, 224]
114; [227, 138, 160, 161, 226]
115; [228, 139, 136, 135, 137, 138, 227]
116; [229, 172, 107, 108, 106, 139, 228]
117; [233, 231, 230, 232]
118; [231, 221, 220, 222, 230]
119; [232, 128, 149, 187, 222, 230]
120; [233, 204, 205, 203, 221, 231]
121; [233, 204, 182, 158, 156, 128, 232]
