ID;Vertices
2311;[209, 260, 259, 258, 240, 253, 254, 255, 256, 257, 262, 261]
2312;[209, 210, 211, 219, 245, 244, 243, 241, 240, 258, 259, 260]
2313;[240, 239, 238, 252, 251, 250, 257, 256, 255, 254, 253]
2314;[237, 246, 247, 248, 249, 250, 251, 252, 238]
2315;[232, 233, 236, 237, 238, 239, 240, 241, 242]
2316;[220, 231, 232, 242, 241, 243, 244, 245, 219]
2317;[226, 235, 234, 233, 232, 231, 230, 229, 228, 227]
2318;[224, 225, 226, 227, 228, 229, 230, 231, 220]
2321;[207, 208, 209, 261, 262, 257, 250, 263, 264, 265, 266, 267, 268]
2322;[250, 249, 279, 276, 277, 278, 263]
2323;[271, 264, 263, 278, 277, 276, 275, 274, 273, 272]
2324;[205, 206, 207, 268, 267, 266, 265, 264, 271, 270, 269]
2331;[206, 205, 204, 203, 202, 201, 200]
2332;[213, 212, 211, 210, 209, 208, 207, 206, 200]
2333;[211, 212, 213, 214, 215, 216, 217, 218, 219]
2334;[223, 222, 221, 220, 219, 218, 217]
