ID	Origin	Destination	Volume
0	70	80	900
1	80	6	1350
2	6	87	450
3	87	8	450
4	8	40	450
5	40	84	450
6	84	88	450
7	88	68	900
8	68	52	450
9	52	71	450
10	71	48	1350
11	48	44	1800
12	44	10	2700
13	10	65	2700
14	65	56	4275
15	56	72	4275
16	72	73	8550
17	73	46	6300
18	46	69	450
19	69	30	450
20	30	21	450
21	21	89	450
22	89	25	450
23	25	11	450
24	11	90	450
25	90	98	450
26	98	83	450
27	83	3	450
28	3	21	450
29	21	30	450
30	30	69	450
31	69	46	450
32	46	72	6300
33	73	74	3825
34	74	10	2250
35	10	44	2250
36	44	35	900
37	35	36	450
38	36	59	450
39	59	96	450
40	96	42	450
41	42	78	900
42	78	77	900
43	77	100	450
44	100	76	450
45	76	47	450
46	47	51	2025
47	51	92	2025
48	92	12	2475
49	12	53	900
50	53	50	900
51	50	71	900
52	73	28	900
53	28	17	450
54	17	60	450
55	60	66	900
56	66	81	900
57	81	27	900
58	27	33	900
59	33	75	450
60	75	2	450
61	2	70	450
62	70	95	450
63	95	13	450
64	13	32	450
65	32	31	450
66	31	85	450
67	85	33	450
68	33	27	450
69	27	81	450
70	81	66	450
71	66	60	450
72	60	23	450
73	23	16	450
74	16	38	450
75	38	54	450
76	54	28	450
77	28	72	450
78	44	48	900
79	48	71	450
80	71	50	450
81	50	53	450
82	53	12	450
83	12	51	1575
84	51	47	1575
85	47	120	450
86	120	47	450
87	28	54	450
88	54	38	450
89	38	16	450
90	16	23	450
91	23	60	450
92	33	85	450
93	85	31	450
94	31	32	450
95	32	13	450
96	13	95	450
97	95	70	450
98	6	88	450
99	68	26	450
100	26	34	450
101	34	41	450
102	41	48	450
103	48	34	450
104	34	26	450
105	26	68	450
106	68	88	450
107	88	6	450
108	6	80	900
109	80	70	450
110	46	64	2250
111	64	49	1350
112	49	101	900
113	101	49	900
114	49	64	1350
115	64	46	2250
116	73	86	3600
117	86	5	3600
118	5	102	450
119	102	5	450
120	5	86	3600
121	86	72	3600
122	5	103	450
123	103	5	450
124	73	57	900
125	57	82	900
126	82	55	900
127	55	104	450
128	104	55	450
129	55	82	900
130	82	57	900
131	57	72	900
132	55	105	225
133	105	55	225
134	49	106	450
135	106	49	450
136	107	80	450
137	6	79	450
138	79	15	450
139	15	9	450
140	9	14	450
141	14	19	450
142	19	58	450
143	58	65	1575
144	64	1	900
145	1	99	450
146	99	108	450
147	108	99	450
148	99	1	450
149	1	64	900
150	74	58	1575
151	58	19	450
152	19	14	450
153	14	9	450
154	9	15	450
155	15	79	450
156	79	6	450
157	80	107	450
158	109	91	450
159	91	29	450
160	29	7	450
161	7	1	450
162	35	62	2250
163	62	37	450
164	37	42	450
165	77	110	450
166	110	77	450
167	77	78	450
168	78	42	450
169	42	37	450
170	37	62	450
171	62	35	2250
172	35	44	450
173	1	0	450
174	0	7	450
175	7	29	450
176	29	91	450
177	91	109	450
178	44	45	450
179	45	63	1575
180	63	12	1575
181	47	111	1125
182	111	47	1125
183	12	63	1575
184	63	45	1575
185	45	44	450
186	58	61	1125
187	61	93	1125
188	93	39	1125
189	39	45	1125
190	45	39	1125
191	39	93	1125
192	93	61	1125
193	61	58	1125
194	91	55	225
195	55	91	225
196	12	97	450
197	97	4	450
198	4	67	450
199	67	20	450
200	20	94	450
201	94	112	450
202	112	94	450
203	94	20	450
204	20	67	450
205	67	4	450
206	4	97	450
207	97	92	450
208	5	113	900
209	113	5	900
210	46	30	1800
211	30	43	1800
212	43	114	450
213	114	43	450
214	43	30	1800
215	30	46	1800
216	43	115	450
217	115	43	450
218	116	5	900
219	46	24	1800
220	24	62	1800
221	35	71	1800
222	71	117	1800
223	117	71	1800
224	71	35	1800
225	62	24	1800
226	24	46	1800
227	5	116	900
228	5	118	900
229	118	5	900
230	43	119	900
231	119	43	900
