ID;Halte;lat;lng
0;Albinusdreef, Leiden;52,170112;4,476591
1;Alrijne Ziekenhuis, Leiden;52,173307;4,481789
2;Anne Frankweg, Leiden;52,150761;4,456047
3;Arendshorst, Leiden;52,175828;4,503727
4;Augustuspad, Leiden;52,148771;4,513102
5;Bio Science Park-Oost, Leiden;52,165125;4,460629
6;Bizetpad, Leiden;52,146619;4,467661
7;Blauwe Vogelweg, Leiden;52,169368;4,471139
8;Brahmslaan, Leiden;52,141466;4,470806
9;Brandts Buyskade, Leiden;52,153439;4,473205
10;Breestraat, Leiden;52,157532;4,491243
11;Broekweg, Leiden;52,181422;4,510137
12;Burggravenlaan, Leiden;52,154821;4,507182
13;Charley Tooropweg, Leiden;52,150612;4,44854
14;Churchillbrug, Leiden;52,156909;4,473222
15;Cornelis Schuytlaan, Leiden;52,149578;4,472554
16;Cruquiuslaan, Leiden;52,161515;4,463423
17;Damlaan, Leiden;52,15968;4,470052
18;De Bazelstraat, Leiden;52,142884;4,478695
19;De Genestetstraat, Leiden;52,158953;4,476015
20;De Heyderweg, Leiden;52,14284;4,508426
21;De Rode's, Leiden;52,173831;4,498752
22;Debussystraat, Leiden;52,145487;4,471293
23;Dr. Lelylaan, Leiden;52,159128;4,463881
24;Energiepark, Leiden;52,163707;4,489994
25;Fakkelgras, Leiden;52,181015;4,502586
26;Fruitweg, Leiden;52,148271;4,486125
27;Gandhistraat, Leiden;52,157171;4,45736
28;Gerard Brandtstraat, Leiden;52,162358;4,47352
29;Gorlaeus Laboratorium, Leiden;52,169725;4,463896
30;Groenoord, Leiden;52,168418;4,493743
31;Hadewychlaan, Leiden;52,155372;4,44578
32;Heintje Davidsweg, Leiden;52,152654;4,443192
33;Helena Verburgstraat, Leiden;52,155501;4,454122
34;Herenstraat, Leiden;52,150027;4,48891
35;Hogewoerd, Leiden;52,155844;4,494945
36;Hooigracht, Leiden;52,159378;4,497534
37;Houtmarkt, Leiden;52,162637;4,499515
38;Jan Luykenlaan, Leiden;52,163113;4,465407
39;Jan van Houtkade, Leiden;52,153246;4,490145
40;Kennedylaan, Leiden;52,141399;4,473744
41;Koninginnelaan, Leiden;52,149458;4,493246
42;Kooipark, Leiden;52,163696;4,506437
43;Kooiplein, Leiden;52,167636;4,505643
44;Korevaarstraat, Leiden;52,156012;4,493392
45;Kraaierstraat, Leiden;52,154928;4,49755
46;Leiden CS Westzijde, Leiden;52,16641;4,480336
47;Leiderdorpsebrug, Leiden;52,15237;4,520981
48;Leliestraat, Leiden;52,15094;4,494327
49;Lijsterstraat, Leiden;52,173228;4,473882
50;Lorentzkade, Leiden;52,147679;4,498162
51;Meerburgerkade, Leiden;52,154554;4,517226
52;Meloenstraat, Leiden;52,145327;4,486637
53;Moddermanstraat, Leiden;52,150492;4,50398
54;Muiderkring, Leiden;52,163458;4,469302
55;Niels Bohrweg, Leiden;52,168172;4,457219
56;Nieuwe Beestenmarkt, Leiden;52,163192;4,486101
57;Noodhalte Naturalis, Leiden;52,163767;4,472055
58;Noordeinde, Leiden;52,160053;4,481181
59;Oosterkerkstraat, Leiden;52,15896;4,500553
60;Opaalstraat, Leiden;52,157172;4,466626
61;Paterstraat, Leiden;52,158179;4,48176
62;Pelikaan, Leiden;52,16131;4,49751
63;Plantage, Leiden;52,154885;4,50135
64;Posthof, Leiden;52,170021;4,479999
65;Prinsessekade, Leiden;52,161507;4,485565
66;Robijnstraat, Leiden;52,15494;4,462858
67;Roomburg, Leiden;52,146655;4,513888
68;Rosenburch, Leiden;52,148038;4,481483
69;Schipholweg, Leiden;52,169867;4,488101
70;Station De Vink, Leiden;52,146891;4,455354
71;Station Lammenschans, Leiden;52,147308;4,492968
72;Station Leiden Centraal, Leiden (Aankomst);52,165519;4,482503
73;Station Leiden Centraal, Leiden (Vertrek);52,165519;4,482503
74;Steenstraat, Leiden;52,162264;4,484644
75;Stevensbloem, Leiden;52,152559;4,452693
76;Sumatrabrug, Leiden;52,163155;4,512309
77;Sumatrastraat, Leiden;52,166456;4,50647
78;Surinamestraat, Leiden;52,166456;4,50647
79;Sweelincklaan, Leiden;52,14815;4,470362
80;Trompweg, Voorschoten;52,145792;4,460797
81;Turkooislaan, Leiden;52,157464;4,459196
82;Universiteitsterrein, Leiden;52,166667;4,461172
83;Valkenhorst, Leiden;52,175292;4,507802
84;van der Helmlaan, Leiden;52,143317;4,476568
85;van Hoornkade, Leiden;52,155781;4,449805
86;Verbeekstraat, Leiden;52,163972;4,464921
87;Verdistraat, Leiden;52,144972;4,470851
88;Vijf Meiplein, Leiden;52,147757;4,477632
89;Vossebes, Leiden;52,178798;4,497163
90;Vossemeerlaan, Leiden;52,1804;4,514149
91;Wassenaarseweg/Corpus, Leiden;52,170223;4,458579
92;Wilhelminabrug, Leiden;52,154994;4,512279
93;Witte Rozenstraat, Leiden;52,154287;4,48292
94;Zaalbergweg/DZB Leiden;52,144599;4,503278
95;Zeldenrustweg, Leiden;52,147558;4,449948
96;Zijlsingel, Leiden;52,158554;4,505135
97;Zorgcentrum Roomburgh, Leiden;52,1519;4,514531
98;Zwartemeerlaan, Leiden;52,167034;4,511677
99;Zweilandlaan, Leiden;52,172564;4,486935
100;Zwembad de Zijl, Leiden;52,167034;4,511677
101;Vuurtorenplein, Noordwijk;52,247917;4,434715
102;Nieuw Vennep, Station;52,2591382;4,6448461
103;Pickeplein, Noordwijk;52,240687;4,432088
104;Willem vd Bergh, Noordwijk;52,218883;4,433316
105;Hangaar 1, Katwijk;52,170541;4,411106
106;Meer en Duin, Lisse;52,27075;4,562952
107;Starrenburg, Voorschoten;52,115213;4,447137
108;Voorhout Station;52,225784;4,484557
109;Sassenheim;52,215361;4,516215
110;Stationstraat, Roelofarendsveen;52,204227;4,632706
111;Alphen ad Rijn;52,124904;4,658244
112;Boskoop;52,076809;4,647006
113;Haarlem;52,387424;4,63914
114;Schiphol;52,309247;4,761093
115;Leimuiden;52,225219;4,675527
116;ESA Estec;52,21582;4,416026
117;Zoetermeer;52,047047;4,477288
118;Boulevard Zuid, Katwijk;52,1975074;4,3872674
119;Ziekenhuis, Leiderdorp;52,158072;4,541271
120;Oranjewijk;52,1437588;4,528679
