route_ID;name;bus_stop;traveltime to next stop
1;1 - De Vink;Leiderdorpsebrug, Leiden;1
1;1 - De Vink;Meerburgerkade, Leiden;1
1;1 - De Vink;Wilhelminabrug, Leiden;1
1;1 - De Vink;Burggravenlaan, Leiden;2
1;1 - De Vink;Moddermanstraat, Leiden;1
1;1 - De Vink;Lorentzkade, Leiden;1
1;1 - De Vink;Station Lammenschans, Leiden;2
1;1 - De Vink;Leliestraat, Leiden;2
1;1 - De Vink;Korevaarstraat, Leiden;1
1;1 - De Vink;Breestraat, Leiden;2
1;1 - De Vink;Prinsessekade, Leiden;1
1;1 - De Vink;Nieuwe Beestenmarkt, Leiden;3
1;1 - De Vink;Station Leiden Centraal, Leiden (Aankomst);2
1;1 - De Vink;Station Leiden Centraal, Leiden (Vertrek);3
1;1 - De Vink;Gerard Brandtstraat, Leiden;1
1;1 - De Vink;Damlaan, Leiden;1
1;1 - De Vink;Opaalstraat, Leiden;1
1;1 - De Vink;Robijnstraat, Leiden;2
1;1 - De Vink;Turkooislaan, Leiden;0
1;1 - De Vink;Gandhistraat, Leiden;1
1;1 - De Vink;Helena Verburgstraat, Leiden;2
1;1 - De Vink;Stevensbloem, Leiden;1
1;1 - De Vink;Anne Frankweg, Leiden;3
1;1 - De Vink;Station De Vink, Leiden;0
;;;
2;1 - Leyhof;Station De Vink, Leiden;2
2;1 - Leyhof;Anne Frankweg, Leiden;1
2;1 - Leyhof;Stevensbloem, Leiden;1
2;1 - Leyhof;Helena Verburgstraat, Leiden;1
2;1 - Leyhof;Gandhistraat, Leiden;1
2;1 - Leyhof;Turkooislaan, Leiden;1
2;1 - Leyhof;Robijnstraat, Leiden;1
2;1 - Leyhof;Opaalstraat, Leiden;1
2;1 - Leyhof;Damlaan, Leiden;1
2;1 - Leyhof;Gerard Brandtstraat, Leiden;3
2;1 - Leyhof;Station Leiden Centraal, Leiden (Aankomst);2
2;1 - Leyhof;Station Leiden Centraal, Leiden (Vertrek);2
2;1 - Leyhof;Steenstraat, Leiden;3
2;1 - Leyhof;Breestraat, Leiden;1
2;1 - Leyhof;Korevaarstraat, Leiden;2
2;1 - Leyhof;Leliestraat, Leiden;2
2;1 - Leyhof;Station Lammenschans, Leiden;1
2;1 - Leyhof;Lorentzkade, Leiden;1
2;1 - Leyhof;Moddermanstraat, Leiden;2
2;1 - Leyhof;Burggravenlaan, Leiden;2
2;1 - Leyhof;Meerburgerkade, Leiden;1
2;1 - Leyhof;Leiderdorpsebrug, Leiden;2
;;;
4;2 - Oranjewijk;Station De Vink, Leiden;2
4;2 - Oranjewijk;Zeldenrustweg, Leiden;1
4;2 - Oranjewijk;Charley Tooropweg, Leiden;1
4;2 - Oranjewijk;Heintje Davidsweg, Leiden;2
4;2 - Oranjewijk;Hadewychlaan, Leiden;0
4;2 - Oranjewijk;van Hoornkade, Leiden;1
4;2 - Oranjewijk;Helena Verburgstraat, Leiden;1
4;2 - Oranjewijk;Gandhistraat, Leiden;1
4;2 - Oranjewijk;Turkooislaan, Leiden;1
4;2 - Oranjewijk;Robijnstraat, Leiden;2
4;2 - Oranjewijk;Opaalstraat, Leiden;2
4;2 - Oranjewijk;Dr. Lelylaan, Leiden;1
4;2 - Oranjewijk;Cruquiuslaan, Leiden;1
4;2 - Oranjewijk;Jan Luykenlaan, Leiden;1
4;2 - Oranjewijk;Muiderkring, Leiden;1
4;2 - Oranjewijk;Gerard Brandtstraat, Leiden;2
4;2 - Oranjewijk;Station Leiden Centraal, Leiden (Aankomst);2
4;2 - Oranjewijk;Station Leiden Centraal, Leiden (Vertrek);2
4;2 - Oranjewijk;Steenstraat, Leiden;3
4;2 - Oranjewijk;Breestraat, Leiden;1
4;2 - Oranjewijk;Korevaarstraat, Leiden;2
4;2 - Oranjewijk;Leliestraat, Leiden;2
4;2 - Oranjewijk;Station Lammenschans, Leiden;1
4;2 - Oranjewijk;Lorentzkade, Leiden;1
4;2 - Oranjewijk;Moddermanstraat, Leiden;2
4;2 - Oranjewijk;Burggravenlaan, Leiden;2
4;2 - Oranjewijk;Meerburgerkade, Leiden;1
4;2 - Oranjewijk;Leiderdorpsebrug, Leiden;2
;;;
3;2 - De Vink;Leiderdorpsebrug, Leiden;1
3;2 - De Vink;Meerburgerkade, Leiden;1
3;2 - De Vink;Wilhelminabrug, Leiden;1
3;2 - De Vink;Burggravenlaan, Leiden;2
3;2 - De Vink;Moddermanstraat, Leiden;1
3;2 - De Vink;Lorentzkade, Leiden;1
3;2 - De Vink;Station Lammenschans, Leiden;2
3;2 - De Vink;Leliestraat, Leiden;2
3;2 - De Vink;Korevaarstraat, Leiden;1
3;2 - De Vink;Breestraat, Leiden;2
3;2 - De Vink;Prinsessekade, Leiden;1
3;2 - De Vink;Nieuwe Beestenmarkt, Leiden;3
3;2 - De Vink;Station Leiden Centraal, Leiden (Aankomst);2
3;2 - De Vink;Station Leiden Centraal, Leiden (Vertrek);3
3;2 - De Vink;Gerard Brandtstraat, Leiden;1
3;2 - De Vink;Muiderkring, Leiden;0
3;2 - De Vink;Jan Luykenlaan, Leiden;1
3;2 - De Vink;Cruquiuslaan, Leiden;2
3;2 - De Vink;Dr. Lelylaan, Leiden;1
3;2 - De Vink;Opaalstraat, Leiden;1
3;2 - De Vink;Robijnstraat, Leiden;2
3;2 - De Vink;Turkooislaan, Leiden;0
3;2 - De Vink;Gandhistraat, Leiden;1
3;2 - De Vink;Helena Verburgstraat, Leiden;1
3;2 - De Vink;van Hoornkade, Leiden;1
3;2 - De Vink;Hadewychlaan, Leiden;1
3;2 - De Vink;Heintje Davidsweg, Leiden;1
3;2 - De Vink;Charley Tooropweg, Leiden;2
3;2 - De Vink;Zeldenrustweg, Leiden;3
3;2 - De Vink;Station De Vink, Leiden;0
;;;
6;3 - Broekweg;Sumatrabrug, Leiden;2
6;3 - Broekweg;Zwembad de Zijl, Leiden;1
6;3 - Broekweg;Sumatrastraat, Leiden;1
6;3 - Broekweg;Surinamestraat, Leiden;1
6;3 - Broekweg;Kooipark, Leiden;3
6;3 - Broekweg;Zijlsingel, Leiden;1
6;3 - Broekweg;Oosterkerkstraat, Leiden;2
6;3 - Broekweg;Hogewoerd, Leiden;2
6;3 - Broekweg;Korevaarstraat, Leiden;1
6;3 - Broekweg;Breestraat, Leiden;2
6;3 - Broekweg;Prinsessekade, Leiden;1
6;3 - Broekweg;Nieuwe Beestenmarkt, Leiden;3
6;3 - Broekweg;Station Leiden Centraal, Leiden (Aankomst);4
6;3 - Broekweg;Station Leiden Centraal, Leiden (Vertrek);1
6;3 - Broekweg;Leiden CS Westzijde, Leiden;3
6;3 - Broekweg;Schipholweg, Leiden;2
6;3 - Broekweg;Groenoord, Leiden;3
6;3 - Broekweg;De Rode's, Leiden;1
6;3 - Broekweg;Arendshorst, Leiden;1
6;3 - Broekweg;Valkenhorst, Leiden;1
6;3 - Broekweg;Zwartemeerlaan, Leiden;1
6;3 - Broekweg;Vossemeerlaan, Leiden;1
6;3 - Broekweg;Broekweg, Leiden;0
;;;
5;3 - Leyhof;Broekweg, Leiden;1
5;3 - Leyhof;Vossemeerlaan, Leiden;2
5;3 - Leyhof;Zwartemeerlaan, Leiden;1
5;3 - Leyhof;Valkenhorst, Leiden;1
5;3 - Leyhof;Arendshorst, Leiden;2
5;3 - Leyhof;De Rode's, Leiden;2
5;3 - Leyhof;Groenoord, Leiden;1
5;3 - Leyhof;Schipholweg, Leiden;3
5;3 - Leyhof;Leiden CS Westzijde, Leiden;2
5;3 - Leyhof;Station Leiden Centraal, Leiden (Aankomst);3
5;3 - Leyhof;Station Leiden Centraal, Leiden (Vertrek);2
5;3 - Leyhof;Steenstraat, Leiden;3
5;3 - Leyhof;Breestraat, Leiden;1
5;3 - Leyhof;Korevaarstraat, Leiden;1
5;3 - Leyhof;Hogewoerd, Leiden;1
5;3 - Leyhof;Hooigracht, Leiden;1
5;3 - Leyhof;Oosterkerkstraat, Leiden;1
5;3 - Leyhof;Zijlsingel, Leiden;3
5;3 - Leyhof;Kooipark, Leiden;1
5;3 - Leyhof;Surinamestraat, Leiden;2
5;3 - Leyhof;Sumatrastraat, Leiden;1
5;3 - Leyhof;Zwembad de Zijl, Leiden;1
5;3 - Leyhof;Sumatrabrug, Leiden;2
;;;
7;4 - De Vink;Broekweg, Leiden;1
7;4 - De Vink;Fakkelgras, Leiden;2
