ID;name;frequency
1;1-3-4 Chain 1;2
2;1-3-4 Chain 2;2
3;2: De Vink - Oranjewijk;2
4;14: Leiden Centraal - De Vink;2
5;20: Leiden Centraal - Vuurtorenplein;2
6;21: Leiden Centraal - Vuurtorenplein;2
7;22: Leiden Centraal - Nieuw Vennep, Station;2
8;23: Leiden Centraal - Pickeplein;2
9;30: Leiden Centraal - Willem vd Bergh;1
10;31: Leiden Centraal - Willem vd Bergh;1
11;38: Leiden Centraal - Hangaar 1;1
12;50: Leiden Centraal - Meer en Duin;2
13;55: Starrenburg - Voorhout Station;2
14;56: Stationsstraat - Sassenheim;2
15;169: Leiden Centraal - Alphen ad Rijn;2
16;182: Leiden Centraal - Alphen ad Rijn;2
17;183: Corpus - Alphen ad Rijn;1
18;187: Leiden Centraal - Boskoop;2
19;250: Leiden Centraal - Haarlem;4
20;365: Leiden Centraal - Schiphol;2
21;366: Leiden Centraal - Leimuiden;2
22;400: ESA Estec - Zoetermeer;4
23;401: Boulevard Zuid - Zoetermeer;4
24;410: Leiden Centraal - Ziekenhuis;4
