Iteration	Obj_Current	Obj_Best	New_Best	Case	SA_Prob	Jump	Nonimp_In	Nonimp_Out	Tenure	Temperature	ADD	DROP	Obj_Lookups	Con_Lookups	Obj_Evals	Con_Evals	ADD_First	DROP_First	ADD_Second	DROP_Second	SWAPs	Total_Time	Solution
0	-192963.911886511865305	-192963.911886511865305	1	-1	-1	0	0	0	6.000000000000000	10000000000000000.000000000000000	-1	-1	0	0	0	0	0	0	0	0	0	0.000000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_8_2
1	-192963.911886511865305	-192963.911886511865305	0	2	1.000000000000000	0	0	1	6.899999999999999	9990000000000000.000000000000000	-1	18	0	0	4	3	0	4	0	2	0	5.182000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_9_4_3_7_8_2
2	-200594.345698736578925	-200594.345698736578925	1	1	-1.000000000000000	0	0	0	6.000000000000000	9980010000000000.000000000000000	17	-1	1	0	29	7	23	4	2	2	2	13.037000000000001	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_4_9_4_3_7_8_2
3	-201383.975564361986471	-201383.975564361986471	1	1	-1.000000000000000	0	0	0	6.000000000000000	9970029990000000.000000000000000	-1	23	2	1	3	1	0	4	0	2	0	1.701000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_4_9_4_3_7_8_1
4	-208631.162396454368718	-208631.162396454368718	1	1	-1.000000000000000	0	0	0	6.000000000000000	9960059960010000.000000000000000	2	-1	2	1	28	6	22	3	2	2	2	14.613000000000000	5_5_5_2_3_3_4_2_2_2_1_3_5_5_4_5_3_4_9_4_3_7_8_1
5	-208631.162396454368718	-208631.162396454368718	0	2	1.000000000000000	0	0	1	6.899999999999999	9950099900049990.000000000000000	-1	18	2	1	3	1	0	3	0	2	0	2.227000000000000	5_5_5_2_3_3_4_2_2_2_1_3_5_5_4_5_3_4_8_4_3_7_8_1
6	-213082.778662915574387	-213082.778662915574387	1	1	-1.000000000000000	0	0	0	6.000000000000000	9940149800149940.000000000000000	2	-1	2	0	29	6	22	3	2	2	2	10.845000000000001	5_5_6_2_3_3_4_2_2_2_1_3_5_5_4_5_3_4_8_4_3_7_8_1
7	-213082.778662915574387	-213082.778662915574387	0	2	1.000000000000000	0	0	1	6.899999999999999	9930209650349790.000000000000000	-1	18	2	1	3	1	0	3	0	2	0	1.744000000000000	5_5_6_2_3_3_4_2_2_2_1_3_5_5_4_5_3_4_7_4_3_7_8_1
8	-218157.525863651389955	-218157.525863651389955	1	1	-1.000000000000000	0	0	0	6.000000000000000	9920279440699440.000000000000000	13	-1	2	0	29	6	22	4	2	2	2	9.436000000000000	5_5_6_2_3_3_4_2_2_2_1_3_5_6_4_5_3_4_7_4_3_7_8_1
9	-218157.525863651389955	-218157.525863651389955	0	2	1.000000000000000	0	0	1	6.899999999999999	9910359161258740.000000000000000	-1	18	3	1	3	1	0	4	0	2	0	1.156000000000000	5_5_6_2_3_3_4_2_2_2_1_3_5_6_4_5_3_4_6_4_3_7_8_1
10	-222172.464131276297849	-222172.464131276297849	1	1	-1.000000000000000	0	0	0	6.000000000000000	9900448802097482.000000000000000	17	-1	2	0	30	6	23	4	2	2	2	9.031000000000001	5_5_6_2_3_3_4_2_2_2_1_3_5_6_4_5_3_5_6_4_3_7_8_1
11	-222172.464131276297849	-222172.464131276297849	0	2	1.000000000000000	0	0	1	6.899999999999999	9890548353295384.000000000000000	-1	18	3	1	3	1	0	3	0	2	0	1.122000000000000	5_5_6_2_3_3_4_2_2_2_1_3_5_6_4_5_3_5_5_4_3_7_8_1
12	-227092.416197610204108	-227092.416197610204108	1	1	-1.000000000000000	0	0	0	6.000000000000000	9880657804942088.000000000000000	2	-1	2	0	29	6	23	3	2	2	2	9.804000000000000	5_5_7_2_3_3_4_2_2_2_1_3_5_6_4_5_3_5_5_4_3_7_8_1
13	-227092.416197610204108	-227092.416197610204108	0	2	1.000000000000000	0	0	1	6.899999999999999	9870777147137146.000000000000000	-1	21	3	1	2	1	0	2	0	2	0	2.108000000000000	5_5_7_2_3_3_4_2_2_2_1_3_5_6_4_5_3_5_5_4_3_6_8_1
