Community_Area_ID	Gravity_Metric
1	25581.348573820570891
2	220754.683944416028680
3	227919.137334081198787
4	169855.446944200899452
5	32711.248406503178558
6	29236.949818557099206
7	39819.203389735223027
8	28839.783241369059397
9	114187.485649512847885
10	28931.988739898417407
11	46591.231891796822310
12	29157.815069693209807
13	43945.640961196542776
14	26528.888088083964249
15	105020.997690448624780
16	258639.820517809857847
17	34237.591406713225297
18	33209.875077665477875
19	21235.097932961740298
20	30450.990173409089039
21	26350.322008759023447
22	38812.275524883072649
23	28060.587034029551432
24	55552.026858730525419
25	62656.192309021993424
26	105108.232274414491258
27	44055.267131733329734
28	29864.790941593793832
29	186369.963491532049375
30	25455.600798319537716
31	73433.701283360976959
32	25391.039757920058037
33	25568.946175363340444
34	28937.527762872934545
35	45753.605601758470584
36	78811.227442906645592
37	67716.576723477977794
38	94616.309357806298067
39	36278.543082119605970
40	105108.672233924211469
41	24963.387555650853756
42	91298.680341978222714
43	143842.697427739738487
44	58223.666710597230121
45	89360.607838283729507
46	74192.913915409444598
47	40908.077815437827667
48	30459.314366968272225
49	201565.997768865694525
50	118755.795957274734974
51	72954.673317955821403
52	32139.676359233260882
53	33542.016507609827386
54	98753.332939872751012
55	39756.187723671755521
56	26720.806671437399928
57	45624.955752810041304
58	32486.452539810306916
59	43244.064750084347907
60	491774.907994012522977
61	71083.030420742623392
62	132393.508394766045967
63	76945.883957844183897
64	43277.451363412990759
65	34973.131501103445771
66	46304.930763785618183
67	55483.264900226567988
68	29119.478445252894744
69	105699.522258165554376
70	37108.819295434113883
71	36426.294219966199307
72	86503.671258700444014
73	50713.014942674693884
74	50714.714583280270745
75	46893.674570299139305
76	162537.887557196721900
77	25876.591854215264902
78	79857.943232289137086
79	78686.139865081422613
80	28904.120567584912351
81	37201.734102573202108
82	30137.951060571103881
83	29641.168098426936922
84	30029.274331175671250
85	26131.757521341252868
86	25877.959559248378355
87	35755.738275636613253
88	27860.971577691354469
89	93081.271091315531521
90	33825.973908916355867
91	133459.084011564293178
92	23053.689582259798044
93	37853.962494497507578
94	91343.260526369776926
95	24316.166931025039958
96	28153.198093483995763
97	35920.250530668170541
98	187758.626272516528843
99	27889.253248803317547
100	25694.351057072075491
101	28260.021128703330760
