Community_Area_ID	Gravity_Metric
1	22336.896964628544083
2	229352.192341710324399
3	244609.629879975400399
4	179676.342609021638054
5	22576.306219478825369
6	33600.927402334826184
7	35141.836363443129812
8	25309.523263628034329
9	115073.407856263089343
10	29231.117030281267944
11	39454.288715898386727
12	28093.229589078473509
13	33386.234191035662661
14	19772.472242754200124
15	109145.363503716391278
16	269157.087499219109304
17	27583.452457346451411
18	32493.220383055475395
19	20317.726202796500729
20	29928.344493566797610
21	17910.467615830759314
22	37487.964370844762016
23	25487.807126196330501
24	55954.800020548958855
25	68375.626747121656081
26	105379.108466683377628
27	37536.331047257444880
28	27997.317510994078475
29	213322.603177197976038
30	22253.450377228218713
31	77795.688921941182343
32	18907.318519231437676
33	18785.382217622984172
34	27188.280186691867129
35	39312.244425707540358
36	81700.561710025038337
37	72760.403782655659597
38	98461.680133747271611
39	36949.835190119018080
40	106980.382545751650468
41	25436.421223623168771
42	93298.986081770039164
43	147362.159874299512012
44	62383.157864966939087
45	92281.438703896201332
46	71721.555496932269307
47	48270.238232419491396
48	24979.903824595377955
49	213995.541693775012391
50	120476.713170401024399
51	70306.783298672584351
52	25609.844764693214529
53	34745.775963555715862
54	101749.719101250462700
55	29305.985161499593232
56	21075.526408248737425
57	39140.476630588651460
58	25242.607433443161426
59	34769.775690964888781
60	491660.994613076152746
61	74954.998555230413331
62	146101.285275434929645
63	82222.960198383356328
64	34015.198235222633230
65	35608.392681210381852
66	39337.119858551486686
67	57330.938818378002907
68	19911.400363251035742
69	112289.681515807969845
70	35746.973274884185230
71	31867.336031360882771
72	88381.692187927415944
73	47537.433060776202183
74	47538.702467455354054
75	39585.020216741890181
76	180401.431736341124633
77	25893.349302913451538
78	82461.202315491347690
79	81325.112754823741852
80	28342.559838496283191
81	32900.739409793859522
82	28069.130961520029814
83	32997.886344377227942
84	31586.689591654347169
85	26753.276736081337731
86	19798.855244191734528
87	37201.750384295643016
88	25355.606040183032746
89	96164.944796457217308
90	32942.364705556632543
91	138133.934942256892100
92	20087.177640114186943
93	28541.802573621796910
94	86460.212831910146633
95	16397.585432470288652
96	21528.421498322288244
97	34256.259186750256049
98	234302.176646141480887
99	29042.098557190576685
100	27401.024766179052676
101	28526.114022691770515
