Solution	Feasible	UC_Riding	UC_Walking	UC_Waiting	Con_Time	Objective	Obj_Time
5_5_4_2_3_3_4_2_3_2_1_3_5_5_4_5_3_3_10_4_3_7_7_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-571229.785648136865348	0.102000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_6_4_5_3_4_10_4_3_7_5_3	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-588661.366293105180375	0.044000000000000
5_5_5_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_7_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-574378.681269202032126	0.095000000000000
5_5_4_2_3_3_4_2_2_2_2_3_5_6_4_5_3_4_10_4_3_7_5_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-592663.438201010227203	0.044000000000000
7_5_6_2_3_3_4_2_2_2_3_3_5_8_4_5_3_6_5_4_3_4_4_1	1	1098011.402259058551863	13949.346422272345080	2247167.987015455961227	2.539000000000000	-655232.069414074067026	0.074000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_4_7_7_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-566367.354975108872168	0.050000000000000
5_5_4_2_3_3_4_2_2_2_1_4_5_6_4_5_3_4_10_4_3_7_5_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-587963.377793481689878	0.047000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_8_2	1	1090574.041607062797993	30118.463305557772401	2458157.557512915693223	4.078000000000000	-566316.631614397861995	0.083000000000000
8_5_6_3_3_3_4_2_2_2_2_3_5_8_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-654094.895485334214754	0.068000000000000
6_6_6_3_3_3_4_2_2_2_3_3_5_8_4_5_3_6_5_4_3_4_4_1	1	1092964.474920660024509	14111.635997903485986	2181924.493802165612578	1.062000000000000	-661342.306628447724506	0.042000000000000
6_6_7_4_3_3_4_2_4_2_1_4_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-661317.389793364331126	0.052000000000000
7_5_6_3_3_3_4_2_2_2_1_4_5_6_4_5_3_5_8_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-639712.265554972575046	0.045000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_4_10_4_3_6_7_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-578831.542812990956008	0.043000000000000
7_5_5_3_3_3_4_2_3_2_1_3_5_7_4_5_3_5_7_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-639352.533691206830554	0.040000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_7_2	1	1090170.413305456051603	30031.837979864794761	2472405.467787880916148	4.721000000000000	-566367.354975108872168	0.039000000000000
5_6_8_4_3_3_4_2_3_2_1_3_5_6_4_5_3_5_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-648417.296288529876620	0.043000000000000
6_5_6_3_3_3_4_2_2_2_3_3_5_8_4_5_3_6_5_4_4_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-657118.959634246653877	0.044000000000000
