Column1;Initial;Final;Change;Change (%)
14;19772,47224;26995,08658;7222,614337;36,53
96;21528,4215;29171,73993;7643,318431;35,5
33;18785,38222;25445,59888;6660,216662;35,45
95;16397,58543;21865,72559;5468,140153;33,35
21;17910,46762;23768,79411;5858,326495;32,71
68;19911,40036;26330,90988;6419,509519;32,24
27;37536,33105;49592,5225;12056,19146;32,12
32;18907,31852;24969,80738;6062,488861;32,06
5;22576,30622;29673,25335;7096,947134;31,44
58;25242,60743;32885,39296;7642,785522;30,28
35;39312,24443;50987,89923;11675,6548;29,7
71;31867,33603;41071,89857;9204,562542;28,88
56;21075,52641;26980,99411;5905,467704;28,02
11;39454,28872;50453,58224;10999,29352;27,88
55;29305,98516;37215,26711;7909,281949;26,99
86;19798,85524;25132,61112;5333,755872;26,94
81;32900,73941;41721,72372;8820,984314;26,81
7;35141,83636;44450,2439;9308,407533;26,49
75;39585,02022;49107,04519;9522,024978;24,05
66;39337,11986;48405,40223;9068,282368;23,05
23;25487,80713;31215,78147;5727,974345;22,47
88;25355,60604;30956,74152;5601,135485;22,09
57;39140,47663;47593,95596;8453,479327;21,6
93;28541,80257;34679,03194;6137,229365;21,5
13;33386,23419;40520,34574;7134,111546;21,37
52;25609,84476;30721,62418;5111,779413;19,96
48;24979,90382;29565,88053;4585,976708;18,36
64;34015,19824;39850,08297;5834,884735;17,15
19;20317,7262;23710,38628;3392,660081;16,7
17;27583,45246;31816,10427;4232,651811;15,34
59;34769,77569;40026,83035;5257,054663;15,12
92;20087,17764;23118,79339;3031,615747;15,09
1;22336,89696;25667,21267;3330,315704;14,91
30;22253,45038;25540,53391;3287,08353;14,77
8;25309,52326;28944,96533;3635,442071;14,36
70;35746,97327;39877,5679;4130,594621;11,56
12;28093,22959;31303,29648;3210,066887;11,43
22;37487,96437;41563,4135;4075,449132;10,87
18;32493,22038;35889,47352;3396,253138;10,45
97;34256,25919;37824,12728;3567,868096;10,42
82;28069,13096;30808,84522;2739,71426;9,76
90;32942,36471;35979,85234;3037,487636;9,22
28;27997,31751;30509,87008;2512,552564;8,97
74;47538,70247;51363,48617;3824,783699;8,05
73;47537,43306;51361,79564;3824,362578;8,04
101;28526,11402;30632,29694;2106,18292;7,38
77;25893,3493;27802,15945;1908,810149;7,37
80;28342,55984;30103,81874;1761,258904;6,21
34;27188,28019;28728,7281;1540,447912;5,67
41;25436,42122;26270,88231;834,4610896;3,28
94;86460,21283;88440,1891;1979,976268;2,29
85;26753,27674;27268,11719;514,840449;1,92
20;29928,34449;30374,5306;446,1861053;1,49
51;70306,7833;71276,95302;970,1697237;1,38
46;71721,5555;72379,12735;657,57185;0,92
26;105379,1085;105984,8283;605,7197957;0,57
9;115073,4079;115494,88;421,4721361;0,37
60;491660,9946;492784,3856;1123,390962;0,23
24;55954,80002;55908,87261;-45,9274086;-0,08
67;57330,93882;57132,44392;-198,4948945;-0,35
99;29042,09856;28909,16485;-132,9337034;-0,46
53;34745,77596;34376,14951;-369,6264579;-1,06
65;35608,39268;35202,63892;-405,7537602;-1,14
10;29231,11703;28820,03668;-411,080347;-1,41
61;74954,99856;73838,97879;-1116,01977;-1,49
78;82461,20232;80423,7055;-2037,496813;-2,47
79;81325,11275;79282,50383;-2042,608926;-2,51
89;96164,9448;93741,63526;-2423,309538;-2,52
50;120476,7132;117300,3072;-3176,406016;-2,64
42;93298,98608;90608,01609;-2690,969995;-2,88
40;106980,3825;103702,9269;-3277,455629;-3,06
54;101749,7191;98495,17009;-3254,549012;-3,2
72;88381,69219;85429,70741;-2951,984776;-3,34
43;147362,1599;142052,7622;-5309,397634;-3,6
45;92281,4387;88891,0768;-3390,3619;-3,67
36;81700,56171;78574,23404;-3126,32767;-3,83
15;109145,3635;104567,1779;-4578,185623;-4,19
38;98461,68013;94004,77476;-4456,905374;-4,53
84;31586,68959;30145,90276;-1440,786834;-4,56
2;229352,1923;217463,4564;-11888,73593;-5,18
91;138133,9349;130651,9315;-7482,003407;-5,42
44;62383,15786;58970,63158;-3412,526284;-5,47
16;269157,0875;254392,0665;-14765,02102;-5,49
31;77795,68892;73433,43495;-4362,253968;-5,61
100;27401,02477;25760,25251;-1640,772256;-5,99
63;82222,9602;76709,22715;-5513,733044;-6,71
69;112289,6815;104530,4489;-7759,232598;-6,91
37;72760,40378;67591,43303;-5168,970755;-7,1
49;213995,5417;198775,9187;-15219,62299;-7,11
39;36949,83519;34112,6789;-2837,156292;-7,68
62;146101,2853;134069,5497;-12031,73562;-8,24
87;37201,75038;34070,681;-3131,069384;-8,42
25;68375,62675;62454,97879;-5920,647958;-8,66
4;179676,3426;163051,6617;-16624,68096;-9,25
83;32997,88634;29774,01129;-3223,875054;-9,77
3;244609,6299;220141,6152;-24468,01471;-10
6;33600,9274;29308,72151;-4292,205893;-12,77
47;48270,23823;42107,22387;-6163,014362;-12,77
29;213322,6032;185358,5459;-27964,0573;-13,11
76;180401,4317;153953,0445;-26448,38721;-14,66
98;234302,1766;195285,7497;-39016,42696;-16,65
