Solution	Feasible	UC_Riding	UC_Walking	UC_Waiting	Con_Time	Objective	Obj_Time
8_5_7_2_3_3_4_2_2_2_1_3_5_11_4_5_3_3_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-171148.702529977628728	0.061000000000000
7_5_7_3_3_3_5_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169074.593394412047928	0.011000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_8_2	1	1090574.041607062797993	30118.463305557772401	2458157.557512916158885	4.308000000000000	-154343.344241086917464	0.029000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_8_1	0	1091049.225069306092337	30107.045589890905831	2496489.236740017309785	3.732000000000000	-155129.106789733807091	0.005000000000000
7_6_5_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_9_1	1	1095139.619652241701260	13264.306489663642424	2291603.475519306492060	3.830000000000000	-170217.863521450693952	0.009000000000000
6_8_7_2_3_3_4_2_2_2_1_3_5_9_4_5_3_4_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169682.379180087649729	0.014000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_7_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-153994.096908390580211	0.006000000000000
6_5_5_2_3_3_4_2_2_2_1_3_5_7_4_5_3_3_7_4_3_7_8_1	1	1096308.252724187448621	13053.014614955067373	2346505.221494275145233	1.647000000000000	-164126.734675434476230	0.013000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_9_4_3_7_8_2	1	1090660.839984771562740	30107.045589890905831	2462333.566262451931834	1.451000000000000	-154343.344241086917464	0.005000000000000
5_5_4_2_3_3_4_2_2_2_2_3_5_5_4_5_3_3_9_4_3_7_8_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-154343.344241086917464	0.013000000000000
6_7_6_2_3_3_4_5_2_2_1_3_5_7_4_6_3_3_5_4_3_4_4_3	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-166331.726740556070581	0.010000000000000
7_7_7_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169490.944624679978006	0.015000000000000
5_5_4_2_3_3_4_2_2_2_1_4_5_5_4_5_3_3_9_4_3_7_8_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-154343.344241086917464	0.009000000000000
7_5_6_2_3_3_4_2_2_2_1_3_5_9_4_5_3_4_5_8_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-166432.724946167028975	0.012000000000000
7_7_6_2_3_3_5_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1	1	1093569.837665275437757	13986.837614174197370	2295469.339590019080788	1.212000000000000	-169764.108815464307554	0.012000000000000
7_6_5_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_4_4_5_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167291.664223212341312	0.013000000000000
5_5_4_2_3_4_4_2_2_2_1_3_5_6_4_5_3_3_9_4_3_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-158306.877217070170445	0.007000000000000
5_5_5_2_3_3_4_8_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1	1	1091597.004675626289099	14026.734601004569413	2449822.056130883283913	1.166000000000000	-163241.231408193823881	0.009000000000000
8_6_5_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169019.654964060668135	0.008000000000000
7_5_5_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_8_3_4_4_1	1	1099064.963982955086976	14490.825247592107189	2422759.802020497620106	1.689000000000000	-165372.179979151027510	0.014000000000000
7_5_7_2_3_3_5_3_2_2_1_3_5_9_4_5_3_3_5_6_3_4_4_1	1	1098096.267390598542988	14071.305467174766818	2304054.393200519029051	2.074000000000000	-169269.025070747244172	0.019000000000000
6_5_5_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_4_4_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-166127.202086695033358	0.018000000000000
6_5_4_2_3_3_4_2_2_2_1_3_5_7_4_5_4_3_7_4_3_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-161928.966375153744593	0.018000000000000
7_5_7_3_3_3_5_2_2_2_1_3_5_9_4_5_3_3_5_6_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169132.844301933480892	0.014000000000000
7_8_7_2_3_3_4_2_2_2_2_3_5_8_4_5_3_3_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170464.264129896910163	0.014000000000000
7_8_7_2_3_3_5_2_2_2_1_3_6_8_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169992.716374043986434	0.009000000000000
5_5_4_2_3_3_4_2_2_2_1_3_6_6_4_5_3_3_9_4_3_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-157844.776102105097380	0.007000000000000
7_5_7_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_7_3_4_5_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169369.625711675500497	0.009000000000000
6_6_5_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_8_3_4_4_1	1	1092642.801462839823216	13886.341653784085793	2378528.520091961603612	1.211000000000000	-166084.339001315704081	0.010000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_6_8_2	1	1090169.450777955120429	30030.594792273259372	2473909.154161832761019	2.318000000000000	-154343.344241086917464	0.006000000000000
6_7_5_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_4_3_6_8_1	1	1091986.485437860945240	13288.067095597729349	2259990.550043544732034	1.110000000000000	-167391.675412826385582	0.011000000000000
6_5_4_2_3_3_4_2_2_2_1_3_5_7_4_6_3_3_7_4_3_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-160511.803995042631868	0.020000000000000
6_7_6_2_3_3_5_2_2_2_1_3_5_9_4_5_3_3_5_4_4_4_4_3	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169833.070422058983240	0.009000000000000
6_5_5_2_3_3_4_2_2_2_1_3_5_7_4_6_3_3_6_4_3_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-162716.599865201802459	0.007000000000000
7_6_6_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_7_4_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169094.752528022101615	0.011000000000000
7_5_6_3_3_3_4_2_2_2_1_3_5_11_4_5_3_3_5_5_3_4_4_1	1	1099223.225831691408530	14465.078024168644333	2305227.873012579046190	1.859000000000000	-169408.777352277131286	0.009000000000000
6_5_5_2_3_3_4_2_2_2_1_3_5_7_4_5_4_3_6_4_3_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-164126.734675434476230	0.006000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_6_4_5_3_3_9_4_3_8_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-158650.252638460835442	0.006000000000000
6_5_5_2_4_3_4_2_2_2_1_3_5_7_4_5_3_3_6_4_3_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-164074.551518779015169	0.006000000000000
7_5_7_2_3_3_5_2_2_3_1_3_5_9_4_5_3_3_5_6_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169269.025070747244172	0.013000000000000
6_6_5_2_3_3_4_2_2_2_1_3_6_8_4_5_3_3_5_4_3_6_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-166545.479454993037507	0.012000000000000
7_5_6_2_3_3_4_6_2_3_1_3_5_9_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169795.141401347995270	0.007000000000000
6_8_6_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_7_4_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-168540.807455597183434	0.020000000000000
6_8_6_2_3_3_4_2_2_2_1_3_5_9_4_6_3_3_5_4_3_4_4_3	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169089.374905176897300	0.009000000000000
6_8_7_2_3_3_4_2_2_2_1_3_5_9_4_5_4_3_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-171049.025240323098842	0.017000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_9_4_3_7_9_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-154972.220193853281671	0.012000000000000
6_7_5_2_3_3_4_6_2_2_1_3_5_7_4_5_3_3_5_4_3_5_4_3	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-166149.146759304014267	0.009000000000000
7_5_6_2_3_3_4_3_2_2_1_3_5_9_4_5_3_3_5_8_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167868.775715233350638	0.014000000000000
5_5_4_3_3_3_4_2_2_2_1_3_5_5_4_5_3_3_9_4_3_7_8_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-153309.490629754989641	0.013000000000000
7_5_7_2_3_4_4_2_2_2_1_3_5_9_4_5_3_3_5_7_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169326.890264102345100	0.012000000000000
6_5_5_2_3_3_4_8_2_2_1_3_5_9_4_5_3_3_5_4_3_4_5_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167852.791769727744395	0.007000000000000
7_8_7_3_3_3_5_2_2_2_1_3_5_8_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167844.936603257723618	0.010000000000000
6_8_7_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1	1	1090937.934472821420059	14144.038618332626356	2241647.439756816718727	1.255000000000000	-169453.802528976753820	0.010000000000000
5_5_4_2_3_3_4_2_2_3_1_3_5_5_4_5_3_3_9_4_3_7_8_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-154343.344241086917464	0.013000000000000
7_8_6_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170367.921633468708023	0.013000000000000
7_8_7_2_3_3_4_2_3_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-172409.785384203220019	0.012000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_6_5_5_3_3_9_4_3_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-157472.222906681388849	0.007000000000000
7_6_6_2_3_3_4_2_2_2_1_3_5_9_4_6_3_3_5_4_3_4_7_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-168366.422861866740277	0.007000000000000
7_6_5_2_3_3_4_2_2_2_1_3_5_7_4_5_3_3_5_4_3_5_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-165270.060254658834310	0.015000000000000
5_6_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_9_4_3_7_8_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-154341.566728638019413	0.010000000000000
6_8_6_2_4_3_4_2_2_2_1_3_5_8_4_5_3_3_5_7_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-168492.865543317398988	0.019000000000000
7_6_6_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_4_3_4_7_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167970.457935628859559	0.009000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_5_5_3_3_9_4_3_7_8_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-153444.739893016056158	0.012000000000000
7_6_6_2_3_3_4_2_2_3_1_3_5_9_4_5_3_3_5_4_3_4_7_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-169815.116459201992257	0.006000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_7_5_5_3_3_8_4_3_7_8_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-158949.131936753285117	0.009000000000000
6_7_6_2_4_3_4_4_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170312.756599799700780	0.006000000000000
7_8_7_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_5_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-172359.197049098409479	0.019000000000000
7_5_6_2_3_3_4_7_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1	1	1097221.056850005406886	13949.598724996787496	2346122.332348309922963	1.061000000000000	-170089.100704475247767	0.007000000000000
6_8_7_2_3_3_5_2_2_2_1_3_5_8_4_5_3_3_5_4_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-167412.981012546748389	0.010000000000000
5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_8_4_3_7_8_2	1	1090728.160867571830750	30118.463305557772401	2467265.087282425723970	1.973000000000000	-154343.344241086917464	0.008000000000000
7_6_6_2_3_3_4_2_2_2_1_3_6_9_4_5_3_3_5_7_3_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-168909.646196967049036	0.009000000000000
5_5_4_2_4_3_4_2_2_2_1_3_5_5_4_5_3_3_9_4_3_7_8_2	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-154270.879479090479435	0.012000000000000
7_8_7_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_5_4_4_4_1	-1	-1.000000000000000	-1.000000000000000	-1.000000000000000	-1.000000000000000	-170464.264129896910163	0.015000000000000
