Iteration	Obj_Current	Obj_Best	New_Best	Case	SA_Prob	Jump	Nonimp_In	Nonimp_Out	Tenure	Temperature	ADD	DROP	Obj_Lookups	Con_Lookups	Obj_Evals	Con_Evals	ADD_First	DROP_First	ADD_Second	DROP_Second	SWAPs	Total_Time	Solution
0	-154343.344241086917464	-154343.344241086917464	1	-1	-1	0	0	0	6.000000000000000	10000000000000000.000000000000000	-1	-1	0	0	0	0	0	0	0	0	0	0.000000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_10_4_3_7_8_2
1	-154343.344241086917464	-154343.344241086917464	0	2	1.000000000000000	0	0	1	6.899999999999999	9990000000000000.000000000000000	-1	18	0	0	4	3	0	4	0	2	0	4.664000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_5_4_5_3_3_9_4_3_7_8_2
2	-157597.549110866792034	-157597.549110866792034	1	1	-1.000000000000000	0	0	0	6.000000000000000	9980010000000000.000000000000000	13	-1	1	0	29	7	23	4	2	2	2	10.250000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_6_4_5_3_3_9_4_3_7_8_2
3	-158376.198491930961609	-158376.198491930961609	1	1	-1.000000000000000	0	0	0	6.000000000000000	9970029990000000.000000000000000	-1	23	2	1	3	1	0	4	0	2	0	1.370000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_6_4_5_3_3_9_4_3_7_8_1
4	-159966.815206063241931	-159966.815206063241931	1	1	-1.000000000000000	0	0	0	6.000000000000000	9960059960010000.000000000000000	13	-1	2	1	28	6	22	3	2	2	2	10.170000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_7_4_5_3_3_9_4_3_7_8_1
5	-159966.815206063241931	-159966.815206063241931	0	2	1.000000000000000	0	0	1	6.899999999999999	9950099900049990.000000000000000	-1	18	2	1	2	1	0	3	0	2	0	2.860000000000000	5_5_4_2_3_3_4_2_2_2_1_3_5_7_4_5_3_3_8_4_3_7_8_1
6	-161928.966375153744593	-161928.966375153744593	1	1	-1.000000000000000	0	0	0	6.000000000000000	9940149800149940.000000000000000	0	-1	2	0	28	6	23	3	2	2	2	13.353000000000000	6_5_4_2_3_3_4_2_2_2_1_3_5_7_4_5_3_3_8_4_3_7_8_1
7	-161928.966375153744593	-161928.966375153744593	0	2	1.000000000000000	0	0	1	6.899999999999999	9930209650349790.000000000000000	-1	18	3	1	2	1	0	3	0	2	0	1.452000000000000	6_5_4_2_3_3_4_2_2_2_1_3_5_7_4_5_3_3_7_4_3_7_8_1
8	-164126.734675434476230	-164126.734675434476230	1	1	-1.000000000000000	0	0	0	6.000000000000000	9920279440699440.000000000000000	2	-1	2	0	29	6	22	3	2	2	2	7.490000000000000	6_5_5_2_3_3_4_2_2_2_1_3_5_7_4_5_3_3_7_4_3_7_8_1
9	-164126.734675434476230	-164126.734675434476230	0	2	1.000000000000000	0	0	1	6.899999999999999	9910359161258740.000000000000000	-1	18	2	1	4	1	0	3	0	2	0	1.246000000000000	6_5_5_2_3_3_4_2_2_2_1_3_5_7_4_5_3_3_6_4_3_7_8_1
10	-166201.214015512552578	-166201.214015512552578	1	1	-1.000000000000000	0	0	0	6.000000000000000	9900448802097482.000000000000000	13	-1	2	0	30	6	23	4	2	2	2	7.170000000000000	6_5_5_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_6_4_3_7_8_1
11	-166201.214015512552578	-166201.214015512552578	0	2	1.000000000000000	0	0	1	6.899999999999999	9890548353295384.000000000000000	-1	18	3	1	3	1	0	3	0	2	0	1.116000000000000	6_5_5_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_4_3_7_8_1
12	-166832.536759452108527	-166832.536759452108527	1	1	-1.000000000000000	0	0	0	6.000000000000000	9880657804942088.000000000000000	1	-1	2	0	29	6	23	3	2	2	2	7.395000000000000	6_6_5_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_4_3_7_8_1
13	-166832.536759452108527	-166832.536759452108527	0	2	1.000000000000000	0	0	1	6.899999999999999	9870777147137146.000000000000000	-1	21	3	1	3	1	0	3	0	2	0	1.191000000000000	6_6_5_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_4_3_6_8_1
14	-167421.253988886193838	-167421.253988886193838	1	1	-1.000000000000000	0	0	0	6.000000000000000	9860906369990008.000000000000000	0	-1	2	0	30	6	22	4	2	2	2	8.303000000000001	7_6_5_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_4_3_6_8_1
15	-167421.253988886193838	-167421.253988886193838	0	2	1.000000000000000	0	0	1	6.899999999999999	9851045463620018.000000000000000	-1	21	2	1	4	1	0	3	0	2	0	1.744000000000000	7_6_5_2_3_3_4_2_2_2_1_3_5_8_4_5_3_3_5_4_3_5_8_1
16	-169291.933260276389774	-169291.933260276389774	1	1	-1.000000000000000	0	0	0	6.000000000000000	9841194418156398.000000000000000	13	-1	2	0	30	6	22	4	2	2	2	10.468000000000000	7_6_5_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_5_8_1
17	-169291.933260276389774	-169291.933260276389774	0	2	1.000000000000000	0	0	1	6.899999999999999	9831353223738242.000000000000000	-1	21	2	1	4	1	0	3	0	2	0	1.676000000000000	7_6_5_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_8_1
18	-170855.172266612644307	-170855.172266612644307	1	1	-1.000000000000000	0	0	0	6.000000000000000	9821521870514504.000000000000000	2	-1	2	0	29	6	23	3	2	2	2	9.265000000000001	7_6_6_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_8_1
19	-169815.116459201992257	-170855.172266612644307	0	2	0.999999999999894	0	0	1	6.899999999999999	9811700348643990.000000000000000	-1	22	3	1	2	1	0	2	0	2	0	1.426000000000000	7_6_6_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_7_1
20	-170715.872894662781619	-170855.172266612644307	0	1	-1.000000000000000	0	0	0	6.000000000000000	9801888648295346.000000000000000	13	-1	2	0	29	6	22	3	2	2	2	9.547000000000001	7_6_6_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_7_1
21	-170434.599045752314851	-170855.172266612644307	0	2	0.999999999999971	0	0	1	6.899999999999999	9792086759647050.000000000000000	-1	22	2	1	3	1	0	3	0	2	0	1.502000000000000	7_6_6_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_6_1
22	-172078.421087916591205	-172078.421087916591205	1	1	-1.000000000000000	0	0	0	6.000000000000000	9782294672887402.000000000000000	2	-1	2	0	29	6	22	3	2	2	2	8.699999999999999	7_6_7_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_6_1
23	-172022.033154443779495	-172078.421087916591205	0	2	0.999999999999994	0	0	1	6.899999999999999	9772512378214514.000000000000000	-1	22	3	1	2	1	0	3	0	2	0	1.641000000000000	7_6_7_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_5_1
24	-172982.084826312027872	-172982.084826312027872	1	1	-1.000000000000000	0	0	0	6.000000000000000	9762739865836300.000000000000000	1	22	2	0	29	6	23	3	2	2	2	10.762000000000000	7_7_7_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1
25	-174160.086164228181588	-174160.086164228181588	1	1	-1.000000000000000	0	0	0	6.000000000000000	9752977125970464.000000000000000	1	-1	2	0	27	4	23	1	2	1	1	5.466000000000000	7_8_7_2_3_3_4_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1
26	-172409.785384203220019	-174160.086164228181588	0	2	0.999999999999821	0	0	1	6.899999999999999	9743224148844494.000000000000000	-1	13	2	1	2	1	0	2	0	2	0	1.050000000000000	7_8_7_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_1
27	-172435.708592056529596	-174160.086164228181588	0	1	-1.000000000000000	0	0	0	6.000000000000000	9733480924695650.000000000000000	23	-1	2	0	28	6	22	2	2	2	2	5.919000000000000	7_8_7_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_2
28	-171049.025240323098842	-174160.086164228181588	0	2	0.999999999999858	0	0	1	6.899999999999999	9723747443770954.000000000000000	-1	0	2	1	3	1	0	3	0	2	0	0.987000000000000	6_8_7_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_2
29	-172241.713949864526512	-174160.086164228181588	0	1	-1.000000000000000	0	0	0	6.000000000000000	9714023696327184.000000000000000	23	-1	2	0	29	6	21	3	2	2	2	9.653000000000000	6_8_7_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_3
30	-170571.222700322367018	-174160.086164228181588	0	2	0.999999999999828	0	0	1	6.899999999999999	9704309672630856.000000000000000	-1	2	2	1	3	1	0	3	0	2	0	1.370000000000000	6_8_6_2_3_3_4_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_3
31	-170571.222700322367018	-174160.086164228181588	0	2	1.000000000000000	0	0	2	7.934999999999999	9694605362958226.000000000000000	6	-1	2	0	29	6	21	4	2	2	2	7.240000000000000	6_8_6_2_3_3_5_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_3
32	-169833.070422058983240	-174160.086164228181588	0	2	0.999999999999924	0	0	3	9.125249999999998	9684910757595268.000000000000000	-1	1	3	1	3	1	0	4	0	2	0	1.037000000000000	6_7_6_2_3_3_5_2_2_2_1_3_5_9_4_5_3_3_5_4_3_4_4_3
33	-169961.852725926524727	-174160.086164228181588	0	1	-1.000000000000000	0	0	0	6.000000000000000	9675225846837672.000000000000000	13	-1	2	0	30	6	21	4	2	2	2	9.215000000000000	6_7_6_2_3_3_5_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_3
34	-168746.451116249721963	-174160.086164228181588	0	2	0.999999999999874	0	0	1	6.899999999999999	9665550620990834.000000000000000	-1	1	2	1	4	1	0	3	0	2	0	1.381000000000000	6_6_6_2_3_3_5_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_3
35	-170626.937862393620890	-174160.086164228181588	0	1	-1.000000000000000	0	0	0	6.000000000000000	9655885070369844.000000000000000	0	23	2	0	30	6	22	4	2	2	2	8.355000000000000	7_6_6_2_3_3_5_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_2
36	-170667.754881292785285	-174160.086164228181588	0	1	-1.000000000000000	0	0	0	6.000000000000000	9646229185299474.000000000000000	6	23	2	0	30	6	21	3	2	2	2	11.523000000000000	7_6_6_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1
37	-172051.045602920465171	-174160.086164228181588	0	1	-1.000000000000000	0	0	0	6.000000000000000	9636582956114174.000000000000000	2	-1	2	0	29	6	22	2	2	2	2	9.584000000000000	7_6_7_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1
38	-170715.792046684451634	-174160.086164228181588	0	2	0.999999999999861	0	0	1	6.899999999999999	9626946373158060.000000000000000	-1	1	6	2	3	0	0	2	0	3	0	0.025000000000000	7_5_7_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_4_3_4_4_1
39	-170947.778843632491771	-174160.086164228181588	0	1	-1.000000000000000	0	0	0	6.000000000000000	9617319426784902.000000000000000	19	-1	2	0	28	5	22	1	2	1	2	7.486000000000000	7_5_7_2_3_3_6_2_2_2_1_3_5_10_4_5_3_3_5_5_3_4_4_1
40	-169101.085990132560255	-174160.086164228181588	0	2	0.999999999999808	0	0	1	6.899999999999999	9607702107358118.000000000000000	-1	13	2	1	3	1	0	2	0	2	0	1.554000000000000	7_5_7_2_3_3_6_2_2_2_1_3_5_9_4_5_3_3_5_5_3_4_4_1
41	-169269.025070747244172	-174160.086164228181588	0	1	-1.000000000000000	0	0	0	6.000000000000000	9598094405250760.000000000000000	19	-1	2	0	29	6	22	3	2	2	2	12.257000000000000	7_5_7_2_3_3_6_2_2_2_1_3_5_9_4_5_3_3_5_6_3_4_4_1
42	-169269.025070747244172	-174160.086164228181588	0	2	1.000000000000000	0	0	1	6.899999999999999	9588496310845510.000000000000000	-1	6	2	1	3	1	0	4	0	2	0	1.551000000000000	7_5_7_2_3_3_5_2_2_2_1_3_5_9_4_5_3_3_5_6_3_4_4_1
