Column1;Initial;Final;Change;Change (%)
3;48950,81836;44494,3264;-4456,491963;-9,1
16;99773,97958;94398,57838;-5375,401209;-5,39
6;95870,67901;91596,12427;-4274,554742;-4,46
4;78523,34352;75068,82324;-3454,520277;-4,4
1;86180,42651;82750,34571;-3430,080805;-3,98
2;115278,4724;112093,8386;-3184,63385;-2,76
8;83808,01135;82357,38156;-1450,629791;-1,73
10;66369,39921;66564,47503;195,0758183;0,29
9;70610,20097;71709,45761;1099,256633;1,56
5;43448,65696;44538,30551;1089,64855;2,51
13;59559,27557;61342,3512;1783,07563;2,99
14;41107,0748;44700,41206;3593,337264;8,74
12;41031,65791;44871,87265;3840,214742;9,36
11;36047,55062;40443,83203;4396,281414;12,2
7;51402,87983;58257,26718;6854,387343;13,33
15;36157,06092;44683,62222;8526,561304;23,58
