ID,lat,lng
1,99.54,291.18
2,29.75,385.07
3,53.86,457.39
4,110.96,519.57
5,174.40,426.94
6,202.31,432.02
7,203.58,409.18
8,250.53,367.31
9,268.29,329.24
10,305.09,311.48
11,303.82,283.57
12,313.97,267.07
13,220.08,268.34
14,118.57,242.96
15,140.14,184.60
16,232.76,196.02
17,231.50,175.71
18,251.80,147.80
19,315.24,184.60
20,336.81,227.74
21,409.13,142.73
22,372.34,105.93
23,367.26,122.42
24,321.58,83.09
25,445.93,41.22
26,480.19,32.34
27,542.36,45.03
28,499.22,85.63
29,442.12,118.62
30,452.27,127.50
31,447.20,163.03
32,433.24,164.30
33,505.56,179.52
34,560.12,185.87
35,586.77,147.80
36,584.23,57.71
37,572.81,242.96
38,558.85,305.14
39,551.24,360.96
40,524.59,353.35
41,481.45,354.62
42,494.14,274.68
43,496.68,223.93
44,445.93,260.73
45,405.32,259.46
46,362.18,250.58
47,601.99,348.28
48,622.29,454.86
49,565.20,473.89
50,523.33,520.84
51,451.00,482.77
52,504.29,449.78
53,541.09,411.72
54,477.65,382.53
55,429.43,388.88
56,374.87,380.00
57,346.96,410.45
58,350.77,429.48
59,419.28,349.54
60,393.91,315.29
61,353.30,302.60
62,313.97,364.77
63,327.93,405.37
64,371.07,529.72
65,358.38,536.06
66,354.57,514.49
67,311.43,534.79
68,297.47,513.22
69,272.10,376.19
70,217.54,430.75
71,227.69,572.86
72,246.72,608.39
73,215.00,678.17
74,235.30,668.02
75,269.56,720.04
76,267.02,770.80
77,409.13,637.57
78,372.34,563.98
79,376.14,541.14
80,536.01,539.87

