ID, lat, lng, region
0, 4.476591, 52.170112, 87
1, 4.481789, 52.173307, 8
2, 4.456047, 52.150761, 67
3, 4.503727, 52.175828, 25
4, 4.513102, 52.148771, 32
5, 4.460629, 52.165125, 76
6, 4.467661, 52.146619, 96
7, 4.471139, 52.169368, 80
8, 4.470806, 52.141466, 97
9, 4.473205, 52.153439, 57
10, 4.491243, 52.157532, 37
11, 4.510137, 52.181422, 1
12, 4.507182, 52.154821, 15
13, 4.44854, 52.150612, 18
14, 4.473222, 52.156909, 86
15, 4.472554, 52.149578, 64
16, 4.463423, 52.161515, 75
17, 4.470052, 52.15968, 82
18, 4.478695, 52.142884, 3
19, 4.476015, 52.158953, 84
20, 4.508426, 52.14284, 14
21, 4.498752, 52.173831, 26
22, 4.471293, 52.145487, 94
23, 4.463881, 52.159128, 68
24, 4.489994, 52.163707, 10
25, 4.502586, 52.181015, 6
26, 4.486125, 52.148271, 42
27, 4.45736, 52.157171, 58
28, 4.47352, 52.162358, 81
29, 4.463896, 52.169725, 78
30, 4.493743, 52.168418, 11
31, 4.44578, 52.155372, 47
32, 4.443192, 52.152654, 4
33, 4.454122, 52.155501, 49
34, 4.48891, 52.150027, 38
35, 4.494945, 52.155844, 59
36, 4.497534, 52.159378, 60
37, 4.499515, 52.162637, 55
38, 4.465407, 52.163113, 74
39, 4.490145, 52.153246, 39
40, 4.473744, 52.141399, 98
41, 4.493246, 52.149458, 40
42, 4.506437, 52.163696, 28
43, 4.505643, 52.167636, 24
44, 4.493392, 52.156012, 61
45, 4.49755, 52.154928, 62
46, 4.480336, 52.16641, 85
47, 4.520981, 52.15237, 35
48, 4.494327, 52.15094, 63
49, 4.473882, 52.173228, 50
50, 4.498162, 52.147679, 51
51, 4.517226, 52.154554, 34
52, 4.486637, 52.145327, 43
53, 4.50398, 52.150492, 12
54, 4.469302, 52.163458, 79
55, 4.457219, 52.168172, 72
56, 4.486101, 52.163192, 22
57, 4.472055, 52.163767, 83
58, 4.481181, 52.160053, 46
59, 4.500553, 52.15896, 52
60, 4.466626, 52.157172, 69
61, 4.48176, 52.158179, 44
62, 4.49751, 52.16131, 56
63, 4.50135, 52.154885, 54
64, 4.479999, 52.170021, 20
65, 4.485565, 52.161507, 5
66, 4.462858, 52.15494, 91
67, 4.513888, 52.146655, 36
68, 4.481483, 52.148038, 2
69, 4.488101, 52.169867, 21
70, 4.455354, 52.146891, 90
71, 4.492968, 52.147308, 41
72, 4.482503, 52.165519, 19
73, 4.482503, 52.165519, 19
74, 4.484644, 52.162264, 23
75, 4.452693, 52.152559, 17
76, 4.512309, 52.163155, 16
77, 4.50647, 52.166456, 29
78, 4.50647, 52.166456, 29
79, 4.470362, 52.14815, 95
80, 4.460797, 52.145792, 92
81, 4.459196, 52.157464, 70
82, 4.461172, 52.166667, 77
83, 4.507802, 52.175292, 27
84, 4.476568, 52.143317, 65
85, 4.449805, 52.155781, 48
86, 4.464921, 52.163972, 73
87, 4.470851, 52.144972, 93
88, 4.477632, 52.147757, 66
89, 4.497163, 52.178798, 9
90, 4.514149, 52.1804, 0
91, 4.458579, 52.170223, 71
92, 4.512279, 52.154994, 33
93, 4.48292, 52.154287, 45
94, 4.503278, 52.144599, 13
95, 4.449948, 52.147558, 89
96, 4.505135, 52.158554, 53
97, 4.514531, 52.1519, 31
98, 4.511677, 52.167034, 30
99, 4.486935, 52.172564, 7
100, 4.511677, 52.167034, 30
