ID; Vertices
2311; [9, 60, 59, 58, 40, 53, 54, 55, 56, 57, 62, 61]
2312; [9, 10, 11, 19, 45, 44, 43, 41, 40, 58, 59, 60]
2313; [40, 39, 38, 52, 51, 50, 57, 56, 55, 54, 53]
2314; [37, 46, 47, 48, 49, 50, 51, 52, 38]
2315; [32, 33, 36, 37, 38, 39, 40, 41, 42]
2316; [20, 31, 32, 42, 41, 43, 44, 45, 19]
2317; [26, 35, 34, 33, 32, 31, 30, 29, 28, 27]
2318; [24, 25, 26, 27, 28, 29, 30, 31, 20]
2321; [7, 8, 9, 61, 62, 57, 50, 63, 64, 65, 66, 67, 68]
2322; [50, 49, 79, 76, 77, 78, 63]
2323; [71, 64, 63, 78, 77, 76, 75, 74, 73, 72]
2324; [5, 6, 7, 68, 67, 66, 65, 64, 71, 70, 69]
2331; [6, 5, 4, 3, 2, 1, 0]
2332; [13, 12, 11, 10, 9, 8, 7, 6, 0]
2333; [11, 12, 13, 14, 15, 16, 17, 18, 19]
2334; [23, 22, 21, 20, 19, 18, 17]
